academic_year,grade_code,stream_code,subject_code,course_code,classwork_weight,assignment_weight,chapter_gate_weight,term_exam_weight,final_exam_weight,passing_percent
2028-2029,STD09,GEN,MATH,DPS-GSEB-GUJ-STD09-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,SCI,DPS-GSEB-GUJ-STD09-GEN-SCI-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,SS,DPS-GSEB-GUJ-STD09-GEN-SS-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,CS,DPS-GSEB-GUJ-STD09-GEN-CS-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,PE,DPS-GSEB-GUJ-STD09-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,GUJ,DPS-GSEB-GUJ-STD10-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,HIN,DPS-GSEB-GUJ-STD10-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,ENG,DPS-GSEB-GUJ-STD10-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,MATH,DPS-GSEB-GUJ-STD10-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,SCI,DPS-GSEB-GUJ-STD10-GEN-SCI-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,SS,DPS-GSEB-GUJ-STD10-GEN-SS-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,CS,DPS-GSEB-GUJ-STD10-GEN-CS-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,PE,DPS-GSEB-GUJ-STD10-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,ENG,DPS-GSEB-GUJ-STD11-SCI-ENG-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,PHY,DPS-GSEB-GUJ-STD11-SCI-PHY-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,CHEM,DPS-GSEB-GUJ-STD11-SCI-CHEM-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,BIO,DPS-GSEB-GUJ-STD11-SCI-BIO-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,MATH,DPS-GSEB-GUJ-STD11-SCI-MATH-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,CS,DPS-GSEB-GUJ-STD11-SCI-CS-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,PE,DPS-GSEB-GUJ-STD11-SCI-PE-2028,15,20,10,25,30,40
2028-2029,STD11,COM,ENG,DPS-GSEB-GUJ-STD11-COM-ENG-2028,15,20,10,25,30,40
2028-2029,STD11,COM,ACC,DPS-GSEB-GUJ-STD11-COM-ACC-2028,15,20,10,25,30,40
2028-2029,STD11,COM,BA,DPS-GSEB-GUJ-STD11-COM-BA-2028,15,20,10,25,30,40
2028-2029,STD11,COM,ECO,DPS-GSEB-GUJ-STD11-COM-ECO-2028,15,20,10,25,30,40
2028-2029,STD11,COM,STAT,DPS-GSEB-GUJ-STD11-COM-STAT-2028,15,20,10,25,30,40
2028-2029,STD11,COM,CS,DPS-GSEB-GUJ-STD11-COM-CS-2028,15,20,10,25,30,40
2028-2029,STD11,COM,PE,DPS-GSEB-GUJ-STD11-COM-PE-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,ENG,DPS-GSEB-GUJ-STD11-ARTS-ENG-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,HIST,DPS-GSEB-GUJ-STD11-ARTS-HIST-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,GEO,DPS-GSEB-GUJ-STD11-ARTS-GEO-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,POLSCI,DPS-GSEB-GUJ-STD11-ARTS-POLSCI-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,PSY,DPS-GSEB-GUJ-STD11-ARTS-PSY-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,SOC,DPS-GSEB-GUJ-STD11-ARTS-SOC-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,PE,DPS-GSEB-GUJ-STD11-ARTS-PE-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,ENG,DPS-GSEB-GUJ-STD12-SCI-ENG-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,PHY,DPS-GSEB-GUJ-STD12-SCI-PHY-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,CHEM,DPS-GSEB-GUJ-STD12-SCI-CHEM-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,BIO,DPS-GSEB-GUJ-STD12-SCI-BIO-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,MATH,DPS-GSEB-GUJ-STD12-SCI-MATH-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,CS,DPS-GSEB-GUJ-STD12-SCI-CS-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,PE,DPS-GSEB-GUJ-STD12-SCI-PE-2028,15,20,10,25,30,40
2028-2029,STD12,COM,ENG,DPS-GSEB-GUJ-STD12-COM-ENG-2028,15,20,10,25,30,40
2028-2029,STD12,COM,ACC,DPS-GSEB-GUJ-STD12-COM-ACC-2028,15,20,10,25,30,40
2028-2029,STD12,COM,BA,DPS-GSEB-GUJ-STD12-COM-BA-2028,15,20,10,25,30,40
2028-2029,STD12,COM,ECO,DPS-GSEB-GUJ-STD12-COM-ECO-2028,15,20,10,25,30,40
2028-2029,STD12,COM,STAT,DPS-GSEB-GUJ-STD12-COM-STAT-2028,15,20,10,25,30,40
2028-2029,STD12,COM,CS,DPS-GSEB-GUJ-STD12-COM-CS-2028,15,20,10,25,30,40
2028-2029,STD12,COM,PE,DPS-GSEB-GUJ-STD12-COM-PE-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,ENG,DPS-GSEB-GUJ-STD12-ARTS-ENG-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,HIST,DPS-GSEB-GUJ-STD12-ARTS-HIST-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,GEO,DPS-GSEB-GUJ-STD12-ARTS-GEO-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,POLSCI,DPS-GSEB-GUJ-STD12-ARTS-POLSCI-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,PSY,DPS-GSEB-GUJ-STD12-ARTS-PSY-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,SOC,DPS-GSEB-GUJ-STD12-ARTS-SOC-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,PE,DPS-GSEB-GUJ-STD12-ARTS-PE-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,GUJ,DPS-GSEB-ENG-STD01-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,HIN,DPS-GSEB-ENG-STD01-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,ENG,DPS-GSEB-ENG-STD01-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,MATH,DPS-GSEB-ENG-STD01-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,EVS,DPS-GSEB-ENG-STD01-GEN-EVS-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,ART,DPS-GSEB-ENG-STD01-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD01,GEN,PE,DPS-GSEB-ENG-STD01-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,GUJ,DPS-GSEB-ENG-STD02-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,HIN,DPS-GSEB-ENG-STD02-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,ENG,DPS-GSEB-ENG-STD02-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,MATH,DPS-GSEB-ENG-STD02-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,EVS,DPS-GSEB-ENG-STD02-GEN-EVS-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,ART,DPS-GSEB-ENG-STD02-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD02,GEN,PE,DPS-GSEB-ENG-STD02-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,GUJ,DPS-GSEB-ENG-STD03-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,HIN,DPS-GSEB-ENG-STD03-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,ENG,DPS-GSEB-ENG-STD03-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,MATH,DPS-GSEB-ENG-STD03-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,EVS,DPS-GSEB-ENG-STD03-GEN-EVS-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,ART,DPS-GSEB-ENG-STD03-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD03,GEN,PE,DPS-GSEB-ENG-STD03-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,GUJ,DPS-GSEB-ENG-STD04-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,HIN,DPS-GSEB-ENG-STD04-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,ENG,DPS-GSEB-ENG-STD04-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,MATH,DPS-GSEB-ENG-STD04-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,EVS,DPS-GSEB-ENG-STD04-GEN-EVS-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,ART,DPS-GSEB-ENG-STD04-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD04,GEN,PE,DPS-GSEB-ENG-STD04-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,GUJ,DPS-GSEB-ENG-STD05-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,HIN,DPS-GSEB-ENG-STD05-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,ENG,DPS-GSEB-ENG-STD05-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,MATH,DPS-GSEB-ENG-STD05-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,EVS,DPS-GSEB-ENG-STD05-GEN-EVS-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,ART,DPS-GSEB-ENG-STD05-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD05,GEN,PE,DPS-GSEB-ENG-STD05-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,GUJ,DPS-GSEB-ENG-STD06-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,HIN,DPS-GSEB-ENG-STD06-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,ENG,DPS-GSEB-ENG-STD06-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,MATH,DPS-GSEB-ENG-STD06-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,SCI,DPS-GSEB-ENG-STD06-GEN-SCI-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,SS,DPS-GSEB-ENG-STD06-GEN-SS-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,CS,DPS-GSEB-ENG-STD06-GEN-CS-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,ART,DPS-GSEB-ENG-STD06-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD06,GEN,PE,DPS-GSEB-ENG-STD06-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,GUJ,DPS-GSEB-ENG-STD07-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,HIN,DPS-GSEB-ENG-STD07-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,ENG,DPS-GSEB-ENG-STD07-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,MATH,DPS-GSEB-ENG-STD07-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,SCI,DPS-GSEB-ENG-STD07-GEN-SCI-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,SS,DPS-GSEB-ENG-STD07-GEN-SS-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,CS,DPS-GSEB-ENG-STD07-GEN-CS-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,ART,DPS-GSEB-ENG-STD07-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD07,GEN,PE,DPS-GSEB-ENG-STD07-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,GUJ,DPS-GSEB-ENG-STD08-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,HIN,DPS-GSEB-ENG-STD08-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,ENG,DPS-GSEB-ENG-STD08-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,MATH,DPS-GSEB-ENG-STD08-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,SCI,DPS-GSEB-ENG-STD08-GEN-SCI-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,SS,DPS-GSEB-ENG-STD08-GEN-SS-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,CS,DPS-GSEB-ENG-STD08-GEN-CS-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,ART,DPS-GSEB-ENG-STD08-GEN-ART-2028,15,20,10,25,30,40
2028-2029,STD08,GEN,PE,DPS-GSEB-ENG-STD08-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,GUJ,DPS-GSEB-ENG-STD09-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,HIN,DPS-GSEB-ENG-STD09-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,ENG,DPS-GSEB-ENG-STD09-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,MATH,DPS-GSEB-ENG-STD09-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,SCI,DPS-GSEB-ENG-STD09-GEN-SCI-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,SS,DPS-GSEB-ENG-STD09-GEN-SS-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,CS,DPS-GSEB-ENG-STD09-GEN-CS-2028,15,20,10,25,30,40
2028-2029,STD09,GEN,PE,DPS-GSEB-ENG-STD09-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,GUJ,DPS-GSEB-ENG-STD10-GEN-GUJ-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,HIN,DPS-GSEB-ENG-STD10-GEN-HIN-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,ENG,DPS-GSEB-ENG-STD10-GEN-ENG-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,MATH,DPS-GSEB-ENG-STD10-GEN-MATH-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,SCI,DPS-GSEB-ENG-STD10-GEN-SCI-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,SS,DPS-GSEB-ENG-STD10-GEN-SS-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,CS,DPS-GSEB-ENG-STD10-GEN-CS-2028,15,20,10,25,30,40
2028-2029,STD10,GEN,PE,DPS-GSEB-ENG-STD10-GEN-PE-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,ENG,DPS-GSEB-ENG-STD11-SCI-ENG-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,PHY,DPS-GSEB-ENG-STD11-SCI-PHY-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,CHEM,DPS-GSEB-ENG-STD11-SCI-CHEM-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,BIO,DPS-GSEB-ENG-STD11-SCI-BIO-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,MATH,DPS-GSEB-ENG-STD11-SCI-MATH-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,CS,DPS-GSEB-ENG-STD11-SCI-CS-2028,15,20,10,25,30,40
2028-2029,STD11,SCI,PE,DPS-GSEB-ENG-STD11-SCI-PE-2028,15,20,10,25,30,40
2028-2029,STD11,COM,ENG,DPS-GSEB-ENG-STD11-COM-ENG-2028,15,20,10,25,30,40
2028-2029,STD11,COM,ACC,DPS-GSEB-ENG-STD11-COM-ACC-2028,15,20,10,25,30,40
2028-2029,STD11,COM,BA,DPS-GSEB-ENG-STD11-COM-BA-2028,15,20,10,25,30,40
2028-2029,STD11,COM,ECO,DPS-GSEB-ENG-STD11-COM-ECO-2028,15,20,10,25,30,40
2028-2029,STD11,COM,STAT,DPS-GSEB-ENG-STD11-COM-STAT-2028,15,20,10,25,30,40
2028-2029,STD11,COM,CS,DPS-GSEB-ENG-STD11-COM-CS-2028,15,20,10,25,30,40
2028-2029,STD11,COM,PE,DPS-GSEB-ENG-STD11-COM-PE-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,ENG,DPS-GSEB-ENG-STD11-ARTS-ENG-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,HIST,DPS-GSEB-ENG-STD11-ARTS-HIST-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,GEO,DPS-GSEB-ENG-STD11-ARTS-GEO-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,POLSCI,DPS-GSEB-ENG-STD11-ARTS-POLSCI-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,PSY,DPS-GSEB-ENG-STD11-ARTS-PSY-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,SOC,DPS-GSEB-ENG-STD11-ARTS-SOC-2028,15,20,10,25,30,40
2028-2029,STD11,ARTS,PE,DPS-GSEB-ENG-STD11-ARTS-PE-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,ENG,DPS-GSEB-ENG-STD12-SCI-ENG-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,PHY,DPS-GSEB-ENG-STD12-SCI-PHY-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,CHEM,DPS-GSEB-ENG-STD12-SCI-CHEM-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,BIO,DPS-GSEB-ENG-STD12-SCI-BIO-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,MATH,DPS-GSEB-ENG-STD12-SCI-MATH-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,CS,DPS-GSEB-ENG-STD12-SCI-CS-2028,15,20,10,25,30,40
2028-2029,STD12,SCI,PE,DPS-GSEB-ENG-STD12-SCI-PE-2028,15,20,10,25,30,40
2028-2029,STD12,COM,ENG,DPS-GSEB-ENG-STD12-COM-ENG-2028,15,20,10,25,30,40
2028-2029,STD12,COM,ACC,DPS-GSEB-ENG-STD12-COM-ACC-2028,15,20,10,25,30,40
2028-2029,STD12,COM,BA,DPS-GSEB-ENG-STD12-COM-BA-2028,15,20,10,25,30,40
2028-2029,STD12,COM,ECO,DPS-GSEB-ENG-STD12-COM-ECO-2028,15,20,10,25,30,40
2028-2029,STD12,COM,STAT,DPS-GSEB-ENG-STD12-COM-STAT-2028,15,20,10,25,30,40
2028-2029,STD12,COM,CS,DPS-GSEB-ENG-STD12-COM-CS-2028,15,20,10,25,30,40
2028-2029,STD12,COM,PE,DPS-GSEB-ENG-STD12-COM-PE-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,ENG,DPS-GSEB-ENG-STD12-ARTS-ENG-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,HIST,DPS-GSEB-ENG-STD12-ARTS-HIST-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,GEO,DPS-GSEB-ENG-STD12-ARTS-GEO-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,POLSCI,DPS-GSEB-ENG-STD12-ARTS-POLSCI-2028,15,20,10,25,30,40
2028-2029,STD12,ARTS,PSY,DPS-GSEB-ENG-STD12-ARTS-PSY-2028,15,20,10,25,30,40
