course_code,fullname,shortname,idnumber,category_code,board_code,school_code,medium_code,grade_code,stream_code,subject_code,subject_name,academic_year,format,numsections,visible,groupmode,groupmodeforce,summary
GVS-GGOV-GUJ-LKG-GEN-ARTC-2027,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Art and Craft - 2027-2028,GVS-GGOV-GUJ-LKG-GEN-ARTC-27,GVS-GGOV-GUJ-LKG-GEN-ARTC-2027,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,GGOV,GVS,GUJ,LKG,GEN,ARTC,Art and Craft,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Art and Craft - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-LKG-GEN-HEALTH-2027,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Health and Hygiene - 2027-2028,GVS-GGOV-GUJ-LKG-GEN-HEALTH-27,GVS-GGOV-GUJ-LKG-GEN-HEALTH-2027,GVS_TRUST_GGOV_GVS_GUJ_LKG_GEN,GGOV,GVS,GUJ,LKG,GEN,HEALTH,Health and Hygiene,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Health and Hygiene - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-UKG-GEN-FLIT-2027,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Foundational Literacy - 2027-2028,GVS-GGOV-GUJ-UKG-GEN-FLIT-27,GVS-GGOV-GUJ-UKG-GEN-FLIT-2027,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,GGOV,GVS,GUJ,UKG,GEN,FLIT,Foundational Literacy,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Foundational Literacy - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-UKG-GEN-FNUM-2027,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Foundational Numeracy - 2027-2028,GVS-GGOV-GUJ-UKG-GEN-FNUM-27,GVS-GGOV-GUJ-UKG-GEN-FNUM-2027,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,GGOV,GVS,GUJ,UKG,GEN,FNUM,Foundational Numeracy,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Foundational Numeracy - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-UKG-GEN-RHYM-2027,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Rhymes and Stories - 2027-2028,GVS-GGOV-GUJ-UKG-GEN-RHYM-27,GVS-GGOV-GUJ-UKG-GEN-RHYM-2027,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,GGOV,GVS,GUJ,UKG,GEN,RHYM,Rhymes and Stories,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Rhymes and Stories - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-UKG-GEN-PLAY-2027,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Play and Activity - 2027-2028,GVS-GGOV-GUJ-UKG-GEN-PLAY-27,GVS-GGOV-GUJ-UKG-GEN-PLAY-2027,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,GGOV,GVS,GUJ,UKG,GEN,PLAY,Play and Activity,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Play and Activity - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-UKG-GEN-ARTC-2027,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Art and Craft - 2027-2028,GVS-GGOV-GUJ-UKG-GEN-ARTC-27,GVS-GGOV-GUJ-UKG-GEN-ARTC-2027,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,GGOV,GVS,GUJ,UKG,GEN,ARTC,Art and Craft,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Art and Craft - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-UKG-GEN-HEALTH-2027,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Health and Hygiene - 2027-2028,GVS-GGOV-GUJ-UKG-GEN-HEALTH-27,GVS-GGOV-GUJ-UKG-GEN-HEALTH-2027,GVS_TRUST_GGOV_GVS_GUJ_UKG_GEN,GGOV,GVS,GUJ,UKG,GEN,HEALTH,Health and Hygiene,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Health and Hygiene - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-BAL-GEN-FLIT-2027,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Foundational Literacy - 2027-2028,GVS-GGOV-GUJ-BAL-GEN-FLIT-27,GVS-GGOV-GUJ-BAL-GEN-FLIT-2027,GVS_TRUST_GGOV_GVS_GUJ_BAL_GEN,GGOV,GVS,GUJ,BAL,GEN,FLIT,Foundational Literacy,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Foundational Literacy - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-BAL-GEN-FNUM-2027,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Foundational Numeracy - 2027-2028,GVS-GGOV-GUJ-BAL-GEN-FNUM-27,GVS-GGOV-GUJ-BAL-GEN-FNUM-2027,GVS_TRUST_GGOV_GVS_GUJ_BAL_GEN,GGOV,GVS,GUJ,BAL,GEN,FNUM,Foundational Numeracy,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Foundational Numeracy - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-BAL-GEN-RHYM-2027,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Rhymes and Stories - 2027-2028,GVS-GGOV-GUJ-BAL-GEN-RHYM-27,GVS-GGOV-GUJ-BAL-GEN-RHYM-2027,GVS_TRUST_GGOV_GVS_GUJ_BAL_GEN,GGOV,GVS,GUJ,BAL,GEN,RHYM,Rhymes and Stories,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Rhymes and Stories - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-BAL-GEN-PLAY-2027,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Play and Activity - 2027-2028,GVS-GGOV-GUJ-BAL-GEN-PLAY-27,GVS-GGOV-GUJ-BAL-GEN-PLAY-2027,GVS_TRUST_GGOV_GVS_GUJ_BAL_GEN,GGOV,GVS,GUJ,BAL,GEN,PLAY,Play and Activity,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Play and Activity - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-BAL-GEN-ARTC-2027,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Art and Craft - 2027-2028,GVS-GGOV-GUJ-BAL-GEN-ARTC-27,GVS-GGOV-GUJ-BAL-GEN-ARTC-2027,GVS_TRUST_GGOV_GVS_GUJ_BAL_GEN,GGOV,GVS,GUJ,BAL,GEN,ARTC,Art and Craft,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Art and Craft - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-BAL-GEN-HEALTH-2027,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Health and Hygiene - 2027-2028,GVS-GGOV-GUJ-BAL-GEN-HEALTH-27,GVS-GGOV-GUJ-BAL-GEN-HEALTH-2027,GVS_TRUST_GGOV_GVS_GUJ_BAL_GEN,GGOV,GVS,GUJ,BAL,GEN,HEALTH,Health and Hygiene,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Health and Hygiene - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD01-GEN-GUJ-2027,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Gujarati - 2027-2028,GVS-GGOV-GUJ-1-GEN-GUJ-27,GVS-GGOV-GUJ-STD01-GEN-GUJ-2027,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GGOV,GVS,GUJ,STD01,GEN,GUJ,Gujarati,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Gujarati - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD01-GEN-ENG-2027,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - English - 2027-2028,GVS-GGOV-GUJ-1-GEN-ENG-27,GVS-GGOV-GUJ-STD01-GEN-ENG-2027,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GGOV,GVS,GUJ,STD01,GEN,ENG,English,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 1 - General - English - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD01-GEN-HIN-2027,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Hindi - 2027-2028,GVS-GGOV-GUJ-1-GEN-HIN-27,GVS-GGOV-GUJ-STD01-GEN-HIN-2027,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GGOV,GVS,GUJ,STD01,GEN,HIN,Hindi,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Hindi - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD01-GEN-MATH-2027,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Mathematics - 2027-2028,GVS-GGOV-GUJ-1-GEN-MATH-27,GVS-GGOV-GUJ-STD01-GEN-MATH-2027,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GGOV,GVS,GUJ,STD01,GEN,MATH,Mathematics,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Mathematics - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD01-GEN-EVS-2027,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Environmental Studies - 2027-2028,GVS-GGOV-GUJ-1-GEN-EVS-27,GVS-GGOV-GUJ-STD01-GEN-EVS-2027,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GGOV,GVS,GUJ,STD01,GEN,EVS,Environmental Studies,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Environmental Studies - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD01-GEN-ARTC-2027,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Art and Craft - 2027-2028,GVS-GGOV-GUJ-1-GEN-ARTC-27,GVS-GGOV-GUJ-STD01-GEN-ARTC-2027,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GGOV,GVS,GUJ,STD01,GEN,ARTC,Art and Craft,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Art and Craft - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD01-GEN-HPE-2027,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Health and Physical Education - 2027-2028,GVS-GGOV-GUJ-1-GEN-HPE-27,GVS-GGOV-GUJ-STD01-GEN-HPE-2027,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GGOV,GVS,GUJ,STD01,GEN,HPE,Health and Physical Education,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Health and Physical Education - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD01-GEN-VALUE-2027,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Value Education / Moral Science - 2027-2028,GVS-GGOV-GUJ-1-GEN-VALUE-27,GVS-GGOV-GUJ-STD01-GEN-VALUE-2027,GVS_TRUST_GGOV_GVS_GUJ_STD01_GEN,GGOV,GVS,GUJ,STD01,GEN,VALUE,Value Education / Moral Science,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Value Education / Moral Science - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD02-GEN-GUJ-2027,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Gujarati - 2027-2028,GVS-GGOV-GUJ-2-GEN-GUJ-27,GVS-GGOV-GUJ-STD02-GEN-GUJ-2027,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GGOV,GVS,GUJ,STD02,GEN,GUJ,Gujarati,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Gujarati - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD02-GEN-ENG-2027,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - English - 2027-2028,GVS-GGOV-GUJ-2-GEN-ENG-27,GVS-GGOV-GUJ-STD02-GEN-ENG-2027,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GGOV,GVS,GUJ,STD02,GEN,ENG,English,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 2 - General - English - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD02-GEN-HIN-2027,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Hindi - 2027-2028,GVS-GGOV-GUJ-2-GEN-HIN-27,GVS-GGOV-GUJ-STD02-GEN-HIN-2027,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GGOV,GVS,GUJ,STD02,GEN,HIN,Hindi,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Hindi - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD02-GEN-MATH-2027,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Mathematics - 2027-2028,GVS-GGOV-GUJ-2-GEN-MATH-27,GVS-GGOV-GUJ-STD02-GEN-MATH-2027,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GGOV,GVS,GUJ,STD02,GEN,MATH,Mathematics,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Mathematics - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD02-GEN-EVS-2027,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Environmental Studies - 2027-2028,GVS-GGOV-GUJ-2-GEN-EVS-27,GVS-GGOV-GUJ-STD02-GEN-EVS-2027,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GGOV,GVS,GUJ,STD02,GEN,EVS,Environmental Studies,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Environmental Studies - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD02-GEN-ARTC-2027,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Art and Craft - 2027-2028,GVS-GGOV-GUJ-2-GEN-ARTC-27,GVS-GGOV-GUJ-STD02-GEN-ARTC-2027,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GGOV,GVS,GUJ,STD02,GEN,ARTC,Art and Craft,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Art and Craft - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD02-GEN-HPE-2027,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Health and Physical Education - 2027-2028,GVS-GGOV-GUJ-2-GEN-HPE-27,GVS-GGOV-GUJ-STD02-GEN-HPE-2027,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GGOV,GVS,GUJ,STD02,GEN,HPE,Health and Physical Education,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Health and Physical Education - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD02-GEN-VALUE-2027,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Value Education / Moral Science - 2027-2028,GVS-GGOV-GUJ-2-GEN-VALUE-27,GVS-GGOV-GUJ-STD02-GEN-VALUE-2027,GVS_TRUST_GGOV_GVS_GUJ_STD02_GEN,GGOV,GVS,GUJ,STD02,GEN,VALUE,Value Education / Moral Science,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Value Education / Moral Science - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD03-GEN-GUJ-2027,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Gujarati - 2027-2028,GVS-GGOV-GUJ-3-GEN-GUJ-27,GVS-GGOV-GUJ-STD03-GEN-GUJ-2027,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GGOV,GVS,GUJ,STD03,GEN,GUJ,Gujarati,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Gujarati - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD03-GEN-ENG-2027,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - English - 2027-2028,GVS-GGOV-GUJ-3-GEN-ENG-27,GVS-GGOV-GUJ-STD03-GEN-ENG-2027,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GGOV,GVS,GUJ,STD03,GEN,ENG,English,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 3 - General - English - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD03-GEN-HIN-2027,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Hindi - 2027-2028,GVS-GGOV-GUJ-3-GEN-HIN-27,GVS-GGOV-GUJ-STD03-GEN-HIN-2027,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GGOV,GVS,GUJ,STD03,GEN,HIN,Hindi,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Hindi - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD03-GEN-MATH-2027,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Mathematics - 2027-2028,GVS-GGOV-GUJ-3-GEN-MATH-27,GVS-GGOV-GUJ-STD03-GEN-MATH-2027,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GGOV,GVS,GUJ,STD03,GEN,MATH,Mathematics,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Mathematics - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD03-GEN-EVS-2027,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Environmental Studies - 2027-2028,GVS-GGOV-GUJ-3-GEN-EVS-27,GVS-GGOV-GUJ-STD03-GEN-EVS-2027,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GGOV,GVS,GUJ,STD03,GEN,EVS,Environmental Studies,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Environmental Studies - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD03-GEN-COMP-2027,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Computer Studies - 2027-2028,GVS-GGOV-GUJ-3-GEN-COMP-27,GVS-GGOV-GUJ-STD03-GEN-COMP-2027,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GGOV,GVS,GUJ,STD03,GEN,COMP,Computer Studies,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Computer Studies - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD03-GEN-ARTC-2027,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Art and Craft - 2027-2028,GVS-GGOV-GUJ-3-GEN-ARTC-27,GVS-GGOV-GUJ-STD03-GEN-ARTC-2027,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GGOV,GVS,GUJ,STD03,GEN,ARTC,Art and Craft,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Art and Craft - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD03-GEN-HPE-2027,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Health and Physical Education - 2027-2028,GVS-GGOV-GUJ-3-GEN-HPE-27,GVS-GGOV-GUJ-STD03-GEN-HPE-2027,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GGOV,GVS,GUJ,STD03,GEN,HPE,Health and Physical Education,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Health and Physical Education - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD03-GEN-VALUE-2027,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Value Education / Moral Science - 2027-2028,GVS-GGOV-GUJ-3-GEN-VALUE-27,GVS-GGOV-GUJ-STD03-GEN-VALUE-2027,GVS_TRUST_GGOV_GVS_GUJ_STD03_GEN,GGOV,GVS,GUJ,STD03,GEN,VALUE,Value Education / Moral Science,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Value Education / Moral Science - 2027-2028. Division groups are created inside the course.
GVS-GGOV-GUJ-STD04-GEN-GUJ-2027,Green Valley School - GGOV - Gujarati Medium - Std 4 - General - Gujarati - 2027-2028,GVS-GGOV-GUJ-4-GEN-GUJ-27,GVS-GGOV-GUJ-STD04-GEN-GUJ-2027,GVS_TRUST_GGOV_GVS_GUJ_STD04_GEN,GGOV,GVS,GUJ,STD04,GEN,GUJ,Gujarati,2027-2028,topics,12,1,1,1,Baseline course for Green Valley School - GGOV - Gujarati Medium - Std 4 - General - Gujarati - 2027-2028. Division groups are created inside the course.
