course_shortname,course_code,course_fullname,template_code,templatecourse_shortname,academic_year,term,grade_code,grade_band,subject_code,stream_code,visible_after_creation,enablecompletion,apply_sections,apply_gradebook,apply_completion_defaults,certificate_policy_code,notes
GVS-GGOV-GUJ-LKG-GEN-ARTC-26,GVS-GGOV-GUJ-LKG-GEN-ARTC-2026,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Art and Craft - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,LKG,KG-G2,ARTC,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-LKG-GEN-HEALTH-26,GVS-GGOV-GUJ-LKG-GEN-HEALTH-2026,Green Valley School - GGOV - Gujarati Medium - Junior KG - General - Health and Hygiene - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,LKG,KG-G2,HEALTH,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-UKG-GEN-FLIT-26,GVS-GGOV-GUJ-UKG-GEN-FLIT-2026,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Foundational Literacy - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,UKG,KG-G2,FLIT,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-UKG-GEN-FNUM-26,GVS-GGOV-GUJ-UKG-GEN-FNUM-2026,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Foundational Numeracy - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,UKG,KG-G2,FNUM,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-UKG-GEN-RHYM-26,GVS-GGOV-GUJ-UKG-GEN-RHYM-2026,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Rhymes and Stories - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,UKG,KG-G2,RHYM,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-UKG-GEN-PLAY-26,GVS-GGOV-GUJ-UKG-GEN-PLAY-2026,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Play and Activity - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,UKG,KG-G2,PLAY,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-UKG-GEN-ARTC-26,GVS-GGOV-GUJ-UKG-GEN-ARTC-2026,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Art and Craft - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,UKG,KG-G2,ARTC,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-UKG-GEN-HEALTH-26,GVS-GGOV-GUJ-UKG-GEN-HEALTH-2026,Green Valley School - GGOV - Gujarati Medium - Senior KG - General - Health and Hygiene - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,UKG,KG-G2,HEALTH,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-BAL-GEN-FLIT-26,GVS-GGOV-GUJ-BAL-GEN-FLIT-2026,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Foundational Literacy - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,BAL,KG-G2,FLIT,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-BAL-GEN-FNUM-26,GVS-GGOV-GUJ-BAL-GEN-FNUM-2026,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Foundational Numeracy - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,BAL,KG-G2,FNUM,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-BAL-GEN-RHYM-26,GVS-GGOV-GUJ-BAL-GEN-RHYM-2026,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Rhymes and Stories - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,BAL,KG-G2,RHYM,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-BAL-GEN-PLAY-26,GVS-GGOV-GUJ-BAL-GEN-PLAY-2026,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Play and Activity - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,BAL,KG-G2,PLAY,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-BAL-GEN-ARTC-26,GVS-GGOV-GUJ-BAL-GEN-ARTC-2026,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Art and Craft - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,BAL,KG-G2,ARTC,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-BAL-GEN-HEALTH-26,GVS-GGOV-GUJ-BAL-GEN-HEALTH-2026,Green Valley School - GGOV - Gujarati Medium - Balvatika - General - Health and Hygiene - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,BAL,KG-G2,HEALTH,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-1-GEN-GUJ-26,GVS-GGOV-GUJ-STD01-GEN-GUJ-2026,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Gujarati - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD01,KG-G2,GUJ,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-1-GEN-ENG-26,GVS-GGOV-GUJ-STD01-GEN-ENG-2026,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - English - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD01,KG-G2,ENG,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-1-GEN-HIN-26,GVS-GGOV-GUJ-STD01-GEN-HIN-2026,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Hindi - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD01,KG-G2,HIN,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-1-GEN-MATH-26,GVS-GGOV-GUJ-STD01-GEN-MATH-2026,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Mathematics - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD01,KG-G2,MATH,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-1-GEN-EVS-26,GVS-GGOV-GUJ-STD01-GEN-EVS-2026,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Environmental Studies - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD01,KG-G2,EVS,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-1-GEN-ARTC-26,GVS-GGOV-GUJ-STD01-GEN-ARTC-2026,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Art and Craft - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD01,KG-G2,ARTC,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-1-GEN-HPE-26,GVS-GGOV-GUJ-STD01-GEN-HPE-2026,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Health and Physical Education - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD01,KG-G2,HPE,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-1-GEN-VALUE-26,GVS-GGOV-GUJ-STD01-GEN-VALUE-2026,Green Valley School - GGOV - Gujarati Medium - Std 1 - General - Value Education / Moral Science - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD01,KG-G2,VALUE,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-2-GEN-GUJ-26,GVS-GGOV-GUJ-STD02-GEN-GUJ-2026,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Gujarati - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD02,KG-G2,GUJ,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-2-GEN-ENG-26,GVS-GGOV-GUJ-STD02-GEN-ENG-2026,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - English - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD02,KG-G2,ENG,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-2-GEN-HIN-26,GVS-GGOV-GUJ-STD02-GEN-HIN-2026,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Hindi - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD02,KG-G2,HIN,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-2-GEN-MATH-26,GVS-GGOV-GUJ-STD02-GEN-MATH-2026,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Mathematics - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD02,KG-G2,MATH,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-2-GEN-EVS-26,GVS-GGOV-GUJ-STD02-GEN-EVS-2026,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Environmental Studies - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD02,KG-G2,EVS,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-2-GEN-ARTC-26,GVS-GGOV-GUJ-STD02-GEN-ARTC-2026,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Art and Craft - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD02,KG-G2,ARTC,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-2-GEN-HPE-26,GVS-GGOV-GUJ-STD02-GEN-HPE-2026,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Health and Physical Education - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD02,KG-G2,HPE,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-2-GEN-VALUE-26,GVS-GGOV-GUJ-STD02-GEN-VALUE-2026,Green Valley School - GGOV - Gujarati Medium - Std 2 - General - Value Education / Moral Science - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD02,KG-G2,VALUE,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-3-GEN-GUJ-26,GVS-GGOV-GUJ-STD03-GEN-GUJ-2026,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Gujarati - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD03,G3-G5,GUJ,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-3-GEN-ENG-26,GVS-GGOV-GUJ-STD03-GEN-ENG-2026,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - English - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD03,G3-G5,ENG,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-3-GEN-HIN-26,GVS-GGOV-GUJ-STD03-GEN-HIN-2026,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Hindi - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD03,G3-G5,HIN,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-3-GEN-MATH-26,GVS-GGOV-GUJ-STD03-GEN-MATH-2026,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Mathematics - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD03,G3-G5,MATH,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-3-GEN-EVS-26,GVS-GGOV-GUJ-STD03-GEN-EVS-2026,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Environmental Studies - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD03,G3-G5,EVS,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-3-GEN-COMP-26,GVS-GGOV-GUJ-STD03-GEN-COMP-2026,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Computer Studies - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD03,G3-G5,COMP,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-3-GEN-ARTC-26,GVS-GGOV-GUJ-STD03-GEN-ARTC-2026,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Art and Craft - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD03,G3-G5,ARTC,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-3-GEN-HPE-26,GVS-GGOV-GUJ-STD03-GEN-HPE-2026,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Health and Physical Education - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD03,G3-G5,HPE,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-3-GEN-VALUE-26,GVS-GGOV-GUJ-STD03-GEN-VALUE-2026,Green Valley School - GGOV - Gujarati Medium - Std 3 - General - Value Education / Moral Science - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD03,G3-G5,VALUE,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-4-GEN-GUJ-26,GVS-GGOV-GUJ-STD04-GEN-GUJ-2026,Green Valley School - GGOV - Gujarati Medium - Std 4 - General - Gujarati - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD04,G3-G5,GUJ,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-4-GEN-ENG-26,GVS-GGOV-GUJ-STD04-GEN-ENG-2026,Green Valley School - GGOV - Gujarati Medium - Std 4 - General - English - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD04,G3-G5,ENG,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-4-GEN-HIN-26,GVS-GGOV-GUJ-STD04-GEN-HIN-2026,Green Valley School - GGOV - Gujarati Medium - Std 4 - General - Hindi - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD04,G3-G5,HIN,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-4-GEN-MATH-26,GVS-GGOV-GUJ-STD04-GEN-MATH-2026,Green Valley School - GGOV - Gujarati Medium - Std 4 - General - Mathematics - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD04,G3-G5,MATH,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-4-GEN-EVS-26,GVS-GGOV-GUJ-STD04-GEN-EVS-2026,Green Valley School - GGOV - Gujarati Medium - Std 4 - General - Environmental Studies - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD04,G3-G5,EVS,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
GVS-GGOV-GUJ-4-GEN-COMP-26,GVS-GGOV-GUJ-STD04-GEN-COMP-2026,Green Valley School - GGOV - Gujarati Medium - Std 4 - General - Computer Studies - 2026-2027,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2026-2027,Academic Year 2026-2027,STD04,G3-G5,COMP,GEN,0,1,1,1,1,CORE_BADGE_DEFAULT,"Create hidden, review content, then publish."
