history_id,username,academic_year,board_code,school_code,medium_code,grade_code,stream_code,division_code,cohort_code,status,result,effective_from,effective_to,created_by,created_on,notes
HIST-00030,dps.stu.00030,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00031,dps.stu.00031,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00032,dps.stu.00032,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00033,dps.stu.00033,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00034,dps.stu.00034,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00035,dps.stu.00035,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00036,dps.stu.00036,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00037,dps.stu.00037,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00038,dps.stu.00038,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00039,dps.stu.00039,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00040,dps.stu.00040,2026-2027,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00041,dps.stu.00041,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00042,dps.stu.00042,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00043,dps.stu.00043,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00044,dps.stu.00044,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00045,dps.stu.00045,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00046,dps.stu.00046,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00047,dps.stu.00047,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00048,dps.stu.00048,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00049,dps.stu.00049,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00050,dps.stu.00050,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00051,dps.stu.00051,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00052,dps.stu.00052,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00053,dps.stu.00053,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00054,dps.stu.00054,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00055,dps.stu.00055,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00056,dps.stu.00056,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00057,dps.stu.00057,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00058,dps.stu.00058,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00059,dps.stu.00059,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00060,dps.stu.00060,2026-2027,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00061,dps.stu.00061,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00062,dps.stu.00062,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00063,dps.stu.00063,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00064,dps.stu.00064,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00065,dps.stu.00065,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00066,dps.stu.00066,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00067,dps.stu.00067,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00068,dps.stu.00068,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00069,dps.stu.00069,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00070,dps.stu.00070,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00071,dps.stu.00071,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00072,dps.stu.00072,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00073,dps.stu.00073,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00074,dps.stu.00074,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00075,dps.stu.00075,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00076,dps.stu.00076,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00077,dps.stu.00077,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00078,dps.stu.00078,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00079,dps.stu.00079,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00080,dps.stu.00080,2026-2027,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00081,dps.stu.00081,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00082,dps.stu.00082,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00083,dps.stu.00083,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00084,dps.stu.00084,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00085,dps.stu.00085,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00086,dps.stu.00086,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00087,dps.stu.00087,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00088,dps.stu.00088,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00089,dps.stu.00089,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00090,dps.stu.00090,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00091,dps.stu.00091,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00092,dps.stu.00092,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00093,dps.stu.00093,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00094,dps.stu.00094,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00095,dps.stu.00095,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00096,dps.stu.00096,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00097,dps.stu.00097,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00098,dps.stu.00098,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00099,dps.stu.00099,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00100,dps.stu.00100,2026-2027,GSEB,DPS,ENG,STD01,GEN,B,DPS-2026-GSEB-ENG-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00101,dps.stu.00101,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00102,dps.stu.00102,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00103,dps.stu.00103,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00104,dps.stu.00104,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00105,dps.stu.00105,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00106,dps.stu.00106,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00107,dps.stu.00107,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00108,dps.stu.00108,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00109,dps.stu.00109,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00110,dps.stu.00110,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00111,dps.stu.00111,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00112,dps.stu.00112,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
HIST-00113,dps.stu.00113,2026-2027,GSEB,DPS,HIN,STD01,GEN,B,DPS-2026-GSEB-HIN-STD01-GEN-B,ACTIVE,PENDING,2026-04-01,2027-03-31,principal.sharma,2026-04-01,Generated current academic history row.
