academic_year,course_code,course_shortname,term_code,term_exam_template_code,enabled,required_for_completion,notes
2026-2027,DPS-GSEB-GUJ-STD02-GEN-ENG-2026,DPS-GSEB-GUJ-STD02-GEN-ENG-26,TERM1,TERM_EXAM_STD02_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-ENG-2026,DPS-GSEB-GUJ-STD02-GEN-ENG-26,TERM2,TERM_EXAM_STD02_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-MATH-2026,DPS-GSEB-GUJ-STD02-GEN-MATH-26,TERM1,TERM_EXAM_STD02_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-MATH-2026,DPS-GSEB-GUJ-STD02-GEN-MATH-26,TERM2,TERM_EXAM_STD02_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-EVS-2026,DPS-GSEB-GUJ-STD02-GEN-EVS-26,TERM1,TERM_EXAM_STD02_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-EVS-2026,DPS-GSEB-GUJ-STD02-GEN-EVS-26,TERM2,TERM_EXAM_STD02_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-ART-2026,DPS-GSEB-GUJ-STD02-GEN-ART-26,TERM1,TERM_EXAM_STD02_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-ART-2026,DPS-GSEB-GUJ-STD02-GEN-ART-26,TERM2,TERM_EXAM_STD02_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-PE-2026,DPS-GSEB-GUJ-STD02-GEN-PE-26,TERM1,TERM_EXAM_STD02_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD02-GEN-PE-2026,DPS-GSEB-GUJ-STD02-GEN-PE-26,TERM2,TERM_EXAM_STD02_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-GUJ-2026,DPS-GSEB-GUJ-STD03-GEN-GUJ-26,TERM1,TERM_EXAM_STD03_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-GUJ-2026,DPS-GSEB-GUJ-STD03-GEN-GUJ-26,TERM2,TERM_EXAM_STD03_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-HIN-2026,DPS-GSEB-GUJ-STD03-GEN-HIN-26,TERM1,TERM_EXAM_STD03_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-HIN-2026,DPS-GSEB-GUJ-STD03-GEN-HIN-26,TERM2,TERM_EXAM_STD03_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-ENG-2026,DPS-GSEB-GUJ-STD03-GEN-ENG-26,TERM1,TERM_EXAM_STD03_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-ENG-2026,DPS-GSEB-GUJ-STD03-GEN-ENG-26,TERM2,TERM_EXAM_STD03_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-MATH-2026,DPS-GSEB-GUJ-STD03-GEN-MATH-26,TERM1,TERM_EXAM_STD03_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-MATH-2026,DPS-GSEB-GUJ-STD03-GEN-MATH-26,TERM2,TERM_EXAM_STD03_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-EVS-2026,DPS-GSEB-GUJ-STD03-GEN-EVS-26,TERM1,TERM_EXAM_STD03_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-EVS-2026,DPS-GSEB-GUJ-STD03-GEN-EVS-26,TERM2,TERM_EXAM_STD03_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-ART-2026,DPS-GSEB-GUJ-STD03-GEN-ART-26,TERM1,TERM_EXAM_STD03_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-ART-2026,DPS-GSEB-GUJ-STD03-GEN-ART-26,TERM2,TERM_EXAM_STD03_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-PE-2026,DPS-GSEB-GUJ-STD03-GEN-PE-26,TERM1,TERM_EXAM_STD03_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD03-GEN-PE-2026,DPS-GSEB-GUJ-STD03-GEN-PE-26,TERM2,TERM_EXAM_STD03_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-GUJ-2026,DPS-GSEB-GUJ-STD04-GEN-GUJ-26,TERM1,TERM_EXAM_STD04_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-GUJ-2026,DPS-GSEB-GUJ-STD04-GEN-GUJ-26,TERM2,TERM_EXAM_STD04_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-HIN-2026,DPS-GSEB-GUJ-STD04-GEN-HIN-26,TERM1,TERM_EXAM_STD04_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-HIN-2026,DPS-GSEB-GUJ-STD04-GEN-HIN-26,TERM2,TERM_EXAM_STD04_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-ENG-2026,DPS-GSEB-GUJ-STD04-GEN-ENG-26,TERM1,TERM_EXAM_STD04_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-ENG-2026,DPS-GSEB-GUJ-STD04-GEN-ENG-26,TERM2,TERM_EXAM_STD04_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-MATH-2026,DPS-GSEB-GUJ-STD04-GEN-MATH-26,TERM1,TERM_EXAM_STD04_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-MATH-2026,DPS-GSEB-GUJ-STD04-GEN-MATH-26,TERM2,TERM_EXAM_STD04_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-EVS-2026,DPS-GSEB-GUJ-STD04-GEN-EVS-26,TERM1,TERM_EXAM_STD04_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-EVS-2026,DPS-GSEB-GUJ-STD04-GEN-EVS-26,TERM2,TERM_EXAM_STD04_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-ART-2026,DPS-GSEB-GUJ-STD04-GEN-ART-26,TERM1,TERM_EXAM_STD04_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-ART-2026,DPS-GSEB-GUJ-STD04-GEN-ART-26,TERM2,TERM_EXAM_STD04_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-PE-2026,DPS-GSEB-GUJ-STD04-GEN-PE-26,TERM1,TERM_EXAM_STD04_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD04-GEN-PE-2026,DPS-GSEB-GUJ-STD04-GEN-PE-26,TERM2,TERM_EXAM_STD04_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-GUJ-2026,DPS-GSEB-GUJ-STD05-GEN-GUJ-26,TERM1,TERM_EXAM_STD05_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-GUJ-2026,DPS-GSEB-GUJ-STD05-GEN-GUJ-26,TERM2,TERM_EXAM_STD05_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-HIN-2026,DPS-GSEB-GUJ-STD05-GEN-HIN-26,TERM1,TERM_EXAM_STD05_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-HIN-2026,DPS-GSEB-GUJ-STD05-GEN-HIN-26,TERM2,TERM_EXAM_STD05_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-ENG-2026,DPS-GSEB-GUJ-STD05-GEN-ENG-26,TERM1,TERM_EXAM_STD05_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-ENG-2026,DPS-GSEB-GUJ-STD05-GEN-ENG-26,TERM2,TERM_EXAM_STD05_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-MATH-2026,DPS-GSEB-GUJ-STD05-GEN-MATH-26,TERM1,TERM_EXAM_STD05_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-MATH-2026,DPS-GSEB-GUJ-STD05-GEN-MATH-26,TERM2,TERM_EXAM_STD05_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-EVS-2026,DPS-GSEB-GUJ-STD05-GEN-EVS-26,TERM1,TERM_EXAM_STD05_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-EVS-2026,DPS-GSEB-GUJ-STD05-GEN-EVS-26,TERM2,TERM_EXAM_STD05_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-ART-2026,DPS-GSEB-GUJ-STD05-GEN-ART-26,TERM1,TERM_EXAM_STD05_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-ART-2026,DPS-GSEB-GUJ-STD05-GEN-ART-26,TERM2,TERM_EXAM_STD05_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-PE-2026,DPS-GSEB-GUJ-STD05-GEN-PE-26,TERM1,TERM_EXAM_STD05_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD05-GEN-PE-2026,DPS-GSEB-GUJ-STD05-GEN-PE-26,TERM2,TERM_EXAM_STD05_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-GUJ-2026,DPS-GSEB-GUJ-STD06-GEN-GUJ-26,TERM1,TERM_EXAM_STD06_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-GUJ-2026,DPS-GSEB-GUJ-STD06-GEN-GUJ-26,TERM2,TERM_EXAM_STD06_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-HIN-2026,DPS-GSEB-GUJ-STD06-GEN-HIN-26,TERM1,TERM_EXAM_STD06_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-HIN-2026,DPS-GSEB-GUJ-STD06-GEN-HIN-26,TERM2,TERM_EXAM_STD06_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-ENG-2026,DPS-GSEB-GUJ-STD06-GEN-ENG-26,TERM1,TERM_EXAM_STD06_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-ENG-2026,DPS-GSEB-GUJ-STD06-GEN-ENG-26,TERM2,TERM_EXAM_STD06_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-MATH-2026,DPS-GSEB-GUJ-STD06-GEN-MATH-26,TERM1,TERM_EXAM_STD06_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-MATH-2026,DPS-GSEB-GUJ-STD06-GEN-MATH-26,TERM2,TERM_EXAM_STD06_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-SCI-2026,DPS-GSEB-GUJ-STD06-GEN-SCI-26,TERM1,TERM_EXAM_STD06_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-SCI-2026,DPS-GSEB-GUJ-STD06-GEN-SCI-26,TERM2,TERM_EXAM_STD06_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-SS-2026,DPS-GSEB-GUJ-STD06-GEN-SS-26,TERM1,TERM_EXAM_STD06_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-SS-2026,DPS-GSEB-GUJ-STD06-GEN-SS-26,TERM2,TERM_EXAM_STD06_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-CS-2026,DPS-GSEB-GUJ-STD06-GEN-CS-26,TERM1,TERM_EXAM_STD06_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-CS-2026,DPS-GSEB-GUJ-STD06-GEN-CS-26,TERM2,TERM_EXAM_STD06_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-ART-2026,DPS-GSEB-GUJ-STD06-GEN-ART-26,TERM1,TERM_EXAM_STD06_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-ART-2026,DPS-GSEB-GUJ-STD06-GEN-ART-26,TERM2,TERM_EXAM_STD06_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-PE-2026,DPS-GSEB-GUJ-STD06-GEN-PE-26,TERM1,TERM_EXAM_STD06_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD06-GEN-PE-2026,DPS-GSEB-GUJ-STD06-GEN-PE-26,TERM2,TERM_EXAM_STD06_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-GUJ-2026,DPS-GSEB-GUJ-STD07-GEN-GUJ-26,TERM1,TERM_EXAM_STD07_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-GUJ-2026,DPS-GSEB-GUJ-STD07-GEN-GUJ-26,TERM2,TERM_EXAM_STD07_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-HIN-2026,DPS-GSEB-GUJ-STD07-GEN-HIN-26,TERM1,TERM_EXAM_STD07_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-HIN-2026,DPS-GSEB-GUJ-STD07-GEN-HIN-26,TERM2,TERM_EXAM_STD07_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-ENG-2026,DPS-GSEB-GUJ-STD07-GEN-ENG-26,TERM1,TERM_EXAM_STD07_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-ENG-2026,DPS-GSEB-GUJ-STD07-GEN-ENG-26,TERM2,TERM_EXAM_STD07_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-MATH-2026,DPS-GSEB-GUJ-STD07-GEN-MATH-26,TERM1,TERM_EXAM_STD07_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-MATH-2026,DPS-GSEB-GUJ-STD07-GEN-MATH-26,TERM2,TERM_EXAM_STD07_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-SCI-2026,DPS-GSEB-GUJ-STD07-GEN-SCI-26,TERM1,TERM_EXAM_STD07_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-SCI-2026,DPS-GSEB-GUJ-STD07-GEN-SCI-26,TERM2,TERM_EXAM_STD07_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-SS-2026,DPS-GSEB-GUJ-STD07-GEN-SS-26,TERM1,TERM_EXAM_STD07_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-SS-2026,DPS-GSEB-GUJ-STD07-GEN-SS-26,TERM2,TERM_EXAM_STD07_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-CS-2026,DPS-GSEB-GUJ-STD07-GEN-CS-26,TERM1,TERM_EXAM_STD07_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-CS-2026,DPS-GSEB-GUJ-STD07-GEN-CS-26,TERM2,TERM_EXAM_STD07_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-ART-2026,DPS-GSEB-GUJ-STD07-GEN-ART-26,TERM1,TERM_EXAM_STD07_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-ART-2026,DPS-GSEB-GUJ-STD07-GEN-ART-26,TERM2,TERM_EXAM_STD07_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-PE-2026,DPS-GSEB-GUJ-STD07-GEN-PE-26,TERM1,TERM_EXAM_STD07_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD07-GEN-PE-2026,DPS-GSEB-GUJ-STD07-GEN-PE-26,TERM2,TERM_EXAM_STD07_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-GUJ-2026,DPS-GSEB-GUJ-STD08-GEN-GUJ-26,TERM1,TERM_EXAM_STD08_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-GUJ-2026,DPS-GSEB-GUJ-STD08-GEN-GUJ-26,TERM2,TERM_EXAM_STD08_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-HIN-2026,DPS-GSEB-GUJ-STD08-GEN-HIN-26,TERM1,TERM_EXAM_STD08_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-HIN-2026,DPS-GSEB-GUJ-STD08-GEN-HIN-26,TERM2,TERM_EXAM_STD08_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-ENG-2026,DPS-GSEB-GUJ-STD08-GEN-ENG-26,TERM1,TERM_EXAM_STD08_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-ENG-2026,DPS-GSEB-GUJ-STD08-GEN-ENG-26,TERM2,TERM_EXAM_STD08_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-MATH-2026,DPS-GSEB-GUJ-STD08-GEN-MATH-26,TERM1,TERM_EXAM_STD08_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-MATH-2026,DPS-GSEB-GUJ-STD08-GEN-MATH-26,TERM2,TERM_EXAM_STD08_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-SCI-2026,DPS-GSEB-GUJ-STD08-GEN-SCI-26,TERM1,TERM_EXAM_STD08_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-SCI-2026,DPS-GSEB-GUJ-STD08-GEN-SCI-26,TERM2,TERM_EXAM_STD08_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-SS-2026,DPS-GSEB-GUJ-STD08-GEN-SS-26,TERM1,TERM_EXAM_STD08_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-SS-2026,DPS-GSEB-GUJ-STD08-GEN-SS-26,TERM2,TERM_EXAM_STD08_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-CS-2026,DPS-GSEB-GUJ-STD08-GEN-CS-26,TERM1,TERM_EXAM_STD08_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-CS-2026,DPS-GSEB-GUJ-STD08-GEN-CS-26,TERM2,TERM_EXAM_STD08_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-ART-2026,DPS-GSEB-GUJ-STD08-GEN-ART-26,TERM1,TERM_EXAM_STD08_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-ART-2026,DPS-GSEB-GUJ-STD08-GEN-ART-26,TERM2,TERM_EXAM_STD08_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-PE-2026,DPS-GSEB-GUJ-STD08-GEN-PE-26,TERM1,TERM_EXAM_STD08_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD08-GEN-PE-2026,DPS-GSEB-GUJ-STD08-GEN-PE-26,TERM2,TERM_EXAM_STD08_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD09-GEN-GUJ-2026,DPS-GSEB-GUJ-STD09-GEN-GUJ-26,TERM1,TERM_EXAM_STD09_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD09-GEN-GUJ-2026,DPS-GSEB-GUJ-STD09-GEN-GUJ-26,TERM2,TERM_EXAM_STD09_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD09-GEN-HIN-2026,DPS-GSEB-GUJ-STD09-GEN-HIN-26,TERM1,TERM_EXAM_STD09_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD09-GEN-HIN-2026,DPS-GSEB-GUJ-STD09-GEN-HIN-26,TERM2,TERM_EXAM_STD09_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD09-GEN-ENG-2026,DPS-GSEB-GUJ-STD09-GEN-ENG-26,TERM1,TERM_EXAM_STD09_TERM1,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD09-GEN-ENG-2026,DPS-GSEB-GUJ-STD09-GEN-ENG-26,TERM2,TERM_EXAM_STD09_TERM2,1,1,Generated grade-wise term exam assignment.
2026-2027,DPS-GSEB-GUJ-STD09-GEN-MATH-2026,DPS-GSEB-GUJ-STD09-GEN-MATH-26,TERM1,TERM_EXAM_STD09_TERM1,1,1,Generated grade-wise term exam assignment.
