academic_year,course_code,course_shortname,certificate_enabled,credential_type,certificate_policy_code,requires_plugin,issue_condition,min_completion_percent,min_grade_percent,expiry_enabled,expiry_months,visible_to_student,certificate_template_code,certificate_template_name,certificate_activity_type,certificate_activity_key,certificate_activity_name,certificate_section_number,certificate_section_name,certificate_download_mode,certificate_verification_enabled,certificate_email_students,certificate_required_minutes,certificate_unlock_activity_key,certificate_filename_pattern,certificate_brand_primary,certificate_brand_accent,certificate_brand_highlight,school_name,board_name,principal_name,medium_code,medium_name,grade_code,grade_name,stream_code,subject_code,subject_name,notes
2026-2027,DPS-GSEB-GUJ-STD02-GEN-MATH-2026,DPS-GSEB-GUJ-STD02-GEN-MATH-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD02,Standard 2,GEN,MATH,Mathematics,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD02-GEN-EVS-2026,DPS-GSEB-GUJ-STD02-GEN-EVS-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD02,Standard 2,GEN,EVS,Environmental Studies,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD02-GEN-ART-2026,DPS-GSEB-GUJ-STD02-GEN-ART-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD02,Standard 2,GEN,ART,Art Education,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD02-GEN-PE-2026,DPS-GSEB-GUJ-STD02-GEN-PE-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD02,Standard 2,GEN,PE,Physical Education,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD03-GEN-GUJ-2026,DPS-GSEB-GUJ-STD03-GEN-GUJ-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD03,Standard 3,GEN,GUJ,Gujarati,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD03-GEN-HIN-2026,DPS-GSEB-GUJ-STD03-GEN-HIN-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD03,Standard 3,GEN,HIN,Hindi,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD03-GEN-ENG-2026,DPS-GSEB-GUJ-STD03-GEN-ENG-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD03,Standard 3,GEN,ENG,English,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD03-GEN-MATH-2026,DPS-GSEB-GUJ-STD03-GEN-MATH-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD03,Standard 3,GEN,MATH,Mathematics,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD03-GEN-EVS-2026,DPS-GSEB-GUJ-STD03-GEN-EVS-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD03,Standard 3,GEN,EVS,Environmental Studies,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD03-GEN-ART-2026,DPS-GSEB-GUJ-STD03-GEN-ART-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD03,Standard 3,GEN,ART,Art Education,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD03-GEN-PE-2026,DPS-GSEB-GUJ-STD03-GEN-PE-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD03,Standard 3,GEN,PE,Physical Education,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD04-GEN-GUJ-2026,DPS-GSEB-GUJ-STD04-GEN-GUJ-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD04,Standard 4,GEN,GUJ,Gujarati,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD04-GEN-HIN-2026,DPS-GSEB-GUJ-STD04-GEN-HIN-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD04,Standard 4,GEN,HIN,Hindi,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD04-GEN-ENG-2026,DPS-GSEB-GUJ-STD04-GEN-ENG-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD04,Standard 4,GEN,ENG,English,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD04-GEN-MATH-2026,DPS-GSEB-GUJ-STD04-GEN-MATH-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD04,Standard 4,GEN,MATH,Mathematics,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD04-GEN-EVS-2026,DPS-GSEB-GUJ-STD04-GEN-EVS-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD04,Standard 4,GEN,EVS,Environmental Studies,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD04-GEN-ART-2026,DPS-GSEB-GUJ-STD04-GEN-ART-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD04,Standard 4,GEN,ART,Art Education,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD04-GEN-PE-2026,DPS-GSEB-GUJ-STD04-GEN-PE-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD04,Standard 4,GEN,PE,Physical Education,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD05-GEN-GUJ-2026,DPS-GSEB-GUJ-STD05-GEN-GUJ-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD05,Standard 5,GEN,GUJ,Gujarati,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD05-GEN-HIN-2026,DPS-GSEB-GUJ-STD05-GEN-HIN-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD05,Standard 5,GEN,HIN,Hindi,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD05-GEN-ENG-2026,DPS-GSEB-GUJ-STD05-GEN-ENG-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD05,Standard 5,GEN,ENG,English,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD05-GEN-MATH-2026,DPS-GSEB-GUJ-STD05-GEN-MATH-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD05,Standard 5,GEN,MATH,Mathematics,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD05-GEN-EVS-2026,DPS-GSEB-GUJ-STD05-GEN-EVS-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD05,Standard 5,GEN,EVS,Environmental Studies,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD05-GEN-ART-2026,DPS-GSEB-GUJ-STD05-GEN-ART-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD05,Standard 5,GEN,ART,Art Education,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD05-GEN-PE-2026,DPS-GSEB-GUJ-STD05-GEN-PE-26,1,certificate,PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD05,Standard 5,GEN,PE,Physical Education,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
2026-2027,DPS-GSEB-GUJ-STD06-GEN-GUJ-2026,DPS-GSEB-GUJ-STD06-GEN-GUJ-26,1,certificate,UPPER_PRIMARY_COURSE_COMPLETION_CERT,1,course_completion,100,40,0,,1,DRONA_MODERN_COURSE_COMPLETION,Drona Modern Course Completion Certificate,customcert,course_completion_certificate,Download Course Completion Certificate,15,Certificate & Completion,D,1,0,0,final_project_portfolio,{COURSE_SHORT_NAME}-{FIRST_NAME}-{LAST_NAME}-{ISSUE_DATE},#0B4F71,#F2B705,#E51B23,Drona Public School,Gujarat Board Education,Anita Sharma,GUJ,Gujarati Medium,STD06,Standard 6,GEN,GUJ,Gujarati,"Generated Custom Certificate activity with modern A4 landscape PDF, certificate ID and QR verification for every course."
