term_exam_template_code,activity_order,activity_type,name,total_marks,completion_rule,grade_to_pass,required
TERM_EXAM_STD06_TERM1,1,quiz,TERM1 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD06_TERM1,2,assign,TERM1 Written Submission,20,submit,8,1
TERM_EXAM_STD06_TERM1,3,assign,TERM1 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD06_TERM2,1,quiz,TERM2 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD06_TERM2,2,assign,TERM2 Written Submission,20,submit,8,1
TERM_EXAM_STD06_TERM2,3,assign,TERM2 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD07_TERM1,1,quiz,TERM1 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD07_TERM1,2,assign,TERM1 Written Submission,20,submit,8,1
TERM_EXAM_STD07_TERM1,3,assign,TERM1 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD07_TERM2,1,quiz,TERM2 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD07_TERM2,2,assign,TERM2 Written Submission,20,submit,8,1
TERM_EXAM_STD07_TERM2,3,assign,TERM2 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD08_TERM1,1,quiz,TERM1 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD08_TERM1,2,assign,TERM1 Written Submission,20,submit,8,1
TERM_EXAM_STD08_TERM1,3,assign,TERM1 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD08_TERM2,1,quiz,TERM2 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD08_TERM2,2,assign,TERM2 Written Submission,20,submit,8,1
TERM_EXAM_STD08_TERM2,3,assign,TERM2 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD09_TERM1,1,quiz,TERM1 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD09_TERM1,2,assign,TERM1 Written Submission,20,submit,8,1
TERM_EXAM_STD09_TERM1,3,assign,TERM1 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD09_TERM2,1,quiz,TERM2 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD09_TERM2,2,assign,TERM2 Written Submission,20,submit,8,1
TERM_EXAM_STD09_TERM2,3,assign,TERM2 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD10_TERM1,1,quiz,TERM1 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD10_TERM1,2,assign,TERM1 Written Submission,20,submit,8,1
TERM_EXAM_STD10_TERM1,3,assign,TERM1 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD10_TERM2,1,quiz,TERM2 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD10_TERM2,2,assign,TERM2 Written Submission,20,submit,8,1
TERM_EXAM_STD10_TERM2,3,assign,TERM2 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD11_TERM1,1,quiz,TERM1 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD11_TERM1,2,assign,TERM1 Written Submission,20,submit,8,1
TERM_EXAM_STD11_TERM1,3,assign,TERM1 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD11_TERM2,1,quiz,TERM2 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD11_TERM2,2,assign,TERM2 Written Submission,20,submit,8,1
TERM_EXAM_STD11_TERM2,3,assign,TERM2 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD12_TERM1,1,quiz,TERM1 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD12_TERM1,2,assign,TERM1 Written Submission,20,submit,8,1
TERM_EXAM_STD12_TERM1,3,assign,TERM1 Activity Portfolio,10,submit,4,1
TERM_EXAM_STD12_TERM2,1,quiz,TERM2 Objective Quiz,20,passgrade,8,1
TERM_EXAM_STD12_TERM2,2,assign,TERM2 Written Submission,20,submit,8,1
TERM_EXAM_STD12_TERM2,3,assign,TERM2 Activity Portfolio,10,submit,4,1
