shortname,name,category,datatype,required,locked,visible,forceunique,signup,defaultdata,options,sensitive,recommended_visibility,notes
current_address_line1,Current Address Line 1,Address,text,0,1,0,0,0,,,1,admin_only,
current_address_line2,Current Address Line 2,Address,text,0,1,0,0,0,,,1,admin_only,
current_city,Current City,Address,text,0,1,0,0,0,,,0,user_and_admin,
current_taluka,Current Taluka,Address,text,0,1,0,0,0,,,0,user_and_admin,
current_district,Current District,Address,text,0,1,0,0,0,,,0,user_and_admin,
current_state,Current State,Address,text,0,1,0,0,0,,,0,user_and_admin,
current_pincode,Current PIN Code,Address,text,0,1,0,0,0,,,0,user_and_admin,
permanent_address_line1,Permanent Address Line 1,Address,text,0,1,0,0,0,,,1,admin_only,
permanent_address_line2,Permanent Address Line 2,Address,text,0,1,0,0,0,,,1,admin_only,
permanent_city,Permanent City,Address,text,0,1,0,0,0,,,0,user_and_admin,
permanent_taluka,Permanent Taluka,Address,text,0,1,0,0,0,,,0,user_and_admin,
permanent_district,Permanent District,Address,text,0,1,0,0,0,,,0,user_and_admin,
permanent_state,Permanent State,Address,text,0,1,0,0,0,,,0,user_and_admin,
permanent_pincode,Permanent PIN Code,Address,text,0,1,0,0,0,,,0,user_and_admin,
permanent_address_same,Permanent Address Same as Current,Address,checkbox,0,1,0,0,0,,,0,user_and_admin,
father_name,Father Name,Parent Details,text,0,1,0,0,0,,,1,admin_only,
father_mobile,Father Mobile,Parent Details,text,0,1,0,0,0,,,1,admin_only,
father_email,Father Email,Parent Details,text,0,1,0,0,0,,,1,admin_only,
father_occupation,Father Occupation,Parent Details,text,0,1,0,0,0,,,1,admin_only,
father_qualification,Father Qualification,Parent Details,text,0,1,0,0,0,,,1,admin_only,
mother_name,Mother Name,Parent Details,text,0,1,0,0,0,,,1,admin_only,
mother_mobile,Mother Mobile,Parent Details,text,0,1,0,0,0,,,1,admin_only,
mother_email,Mother Email,Parent Details,text,0,1,0,0,0,,,1,admin_only,
mother_occupation,Mother Occupation,Parent Details,text,0,1,0,0,0,,,1,admin_only,
mother_qualification,Mother Qualification,Parent Details,text,0,1,0,0,0,,,1,admin_only,
guardian_name,Guardian Name,Parent Details,text,0,1,0,0,0,,,1,admin_only,
guardian_mobile,Guardian Mobile,Parent Details,text,0,1,0,0,0,,,1,admin_only,
guardian_email,Guardian Email,Parent Details,text,0,1,0,0,0,,,1,admin_only,
guardian_occupation,Guardian Occupation,Parent Details,text,0,1,0,0,0,,,1,admin_only,
guardian_qualification,Guardian Qualification,Parent Details,text,0,1,0,0,0,,,1,admin_only,
emergency_contact_name,Emergency Contact Name,Emergency Contact,text,0,1,0,0,0,,,1,admin_only,
emergency_contact_relation,Emergency Contact Relation,Emergency Contact,text,0,1,0,0,0,,,1,admin_only,
emergency_contact_mobile,Emergency Contact Mobile,Emergency Contact,text,0,1,0,0,0,,,1,admin_only,
emergency_contact_alt_mobile,Emergency Contact Alternate Mobile,Emergency Contact,text,0,1,0,0,0,,,1,admin_only,
employee_code,Employee Code,Staff Details,text,0,1,0,1,0,,,0,user_and_admin,
staff_designation,Staff Designation,Staff Details,text,0,1,0,0,0,,,0,user_and_admin,
staff_department,Staff Department,Staff Details,text,0,1,0,0,0,,,0,user_and_admin,
staff_joining_date,Staff Joining Date,Staff Details,datetime,0,1,0,0,0,,,0,user_and_admin,
staff_qualification,Staff Qualification,Staff Details,text,0,1,0,0,0,,,0,user_and_admin,
staff_type,Staff Type,Staff Details,menu,0,1,0,0,0,,Trustee|Principal|Teacher|Admin|Other,0,user_and_admin,
parent_type,Parent Type,Parent Account,menu,0,1,0,0,0,,Father|Mother|Guardian|Other,0,user_and_admin,
parent_occupation,Parent Occupation,Parent Account,text,0,1,0,0,0,,,1,admin_only,
parent_qualification,Parent Qualification,Parent Account,text,0,1,0,0,0,,,1,admin_only,
parent_annual_income,Parent Annual Income Range,Parent Account,menu,0,1,0,0,0,,Not provided|Below 1 lakh|1-3 lakh|3-5 lakh|5-10 lakh|Above 10 lakh,1,admin_only,
preferred_language,Preferred Communication Language,Communication,menu,0,1,0,0,0,,Gujarati|English|Hindi|Marathi|Urdu|Other,0,user_and_admin,
consent_student_data,Consent for Student Data Access,Consent,checkbox,0,1,0,0,0,,,1,admin_only,
current_academic_year,Current Academic Year,Student Academic Year,text,0,1,0,0,0,2026-2027,,0,admin_only,Current academic year used for promotion/rollover reporting.
current_board_code,Current Board Code,Student Academic Year,text,0,1,0,0,0,,,0,admin_only,"Current board code, for example GSEB or CBSE."
current_school_code,Current School Code,Student Academic Year,text,0,1,0,0,0,GVS,,0,admin_only,Current school code.
current_medium_code,Current Medium Code,Student Academic Year,text,0,1,0,0,0,,,0,admin_only,"Current medium code, for example GUJ or ENG."
current_grade_code,Current Grade Code,Student Academic Year,text,0,1,0,0,0,,,0,admin_only,"Current grade/program code such as PRE01, STD05, STD11_SCI, UNI_UG_CSE_Y1 or LMS_CERT_DATA."
current_stream_code,Current Stream Code,Student Academic Year,text,0,1,0,0,0,GEN,,0,admin_only,"Current stream code such as GEN, SCI, COM, ART, ENG or CSA."
current_division_code,Current Division Code,Student Academic Year,text,0,1,0,0,0,,,0,admin_only,Current school division such as A or B.
student_status,Student Status,Student Academic Year,menu,0,1,0,0,0,Active,Active|Promoted|Retained|Transferred|Alumni|Left|Suspended,0,admin_only,Current lifecycle status for academic-year rollover.
previous_academic_year,Previous Academic Year,Student Academic Year,text,0,1,0,0,0,,,0,admin_only,Previous academic year before latest promotion.
previous_grade_code,Previous Grade Code,Student Academic Year,text,0,1,0,0,0,,,0,admin_only,Previous grade code before latest promotion.
previous_stream_code,Previous Stream Code,Student Academic Year,text,0,1,0,0,0,,,0,admin_only,Previous stream code before latest promotion.
previous_division_code,Previous Division Code,Student Academic Year,text,0,1,0,0,0,,,0,admin_only,Previous division code before latest promotion.
last_promotion_date,Last Promotion Date,Student Academic Year,datetime,0,1,0,0,0,,,0,admin_only,Date on which student was last promoted or status changed.
last_promotion_result,Last Promotion Result,Student Academic Year,text,0,1,0,0,0,,,0,admin_only,"Latest promotion action result, for example promoted, retained, alumni."
