template_code,section_number,item_order,activity_key,recommended_activity_type,safe_placeholder_module,default_name,purpose,completion_mode,completion_required,gradebook_category,default_points,visible,pii_safe_note,completion_rule,unlock_next,grade_to_pass
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,4,ch04_assignment,assign,page,Chapter 4 Assignment,Worksheet or activity submission,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,5,ch04_gate,quiz,page,Chapter 4 Completion Gate,Required completion gate to unlock next chapter,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,1,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,1,ch05_overview,page,page,Chapter 5 Overview,Chapter overview,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,2,ch05_study,page,page,Chapter 5 Study Material,Study material and textbook reference,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,3,ch05_quiz,quiz,page,Chapter 5 Practice Quiz,Low-stakes practice quiz,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,4,ch05_assignment,assign,page,Chapter 5 Assignment,Worksheet or activity submission,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,5,ch05_gate,quiz,page,Chapter 5 Completion Gate,Required completion gate to unlock next chapter,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,1,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,1,ch06_overview,page,page,Chapter 6 Overview,Chapter overview,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,2,ch06_study,page,page,Chapter 6 Study Material,Study material and textbook reference,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,3,ch06_quiz,quiz,page,Chapter 6 Practice Quiz,Low-stakes practice quiz,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,4,ch06_assignment,assign,page,Chapter 6 Assignment,Worksheet or activity submission,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,5,ch06_gate,quiz,page,Chapter 6 Completion Gate,Required completion gate to unlock next chapter,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,1,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,1,ch07_overview,page,page,Chapter 7 Overview,Chapter overview,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,2,ch07_study,page,page,Chapter 7 Study Material,Study material and textbook reference,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,3,ch07_quiz,quiz,page,Chapter 7 Practice Quiz,Low-stakes practice quiz,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,4,ch07_assignment,assign,page,Chapter 7 Assignment,Worksheet or activity submission,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,5,ch07_gate,quiz,page,Chapter 7 Completion Gate,Required completion gate to unlock next chapter,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,1,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,1,ch08_overview,page,page,Chapter 8 Overview,Chapter overview,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,2,ch08_study,page,page,Chapter 8 Study Material,Study material and textbook reference,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,3,ch08_quiz,quiz,page,Chapter 8 Practice Quiz,Low-stakes practice quiz,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,4,ch08_assignment,assign,page,Chapter 8 Assignment,Worksheet or activity submission,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,5,ch08_gate,quiz,page,Chapter 8 Completion Gate,Required completion gate to unlock next chapter,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,1,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,1,ch09_overview,page,page,Chapter 9 Overview,Chapter overview,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,2,ch09_study,page,page,Chapter 9 Study Material,Study material and textbook reference,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,3,ch09_quiz,quiz,page,Chapter 9 Practice Quiz,Low-stakes practice quiz,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,4,ch09_assignment,assign,page,Chapter 9 Assignment,Worksheet or activity submission,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,5,ch09_gate,quiz,page,Chapter 9 Completion Gate,Required completion gate to unlock next chapter,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,1,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,1,ch10_overview,page,page,Chapter 10 Overview,Chapter overview,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,2,ch10_study,page,page,Chapter 10 Study Material,Study material and textbook reference,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,3,ch10_quiz,quiz,page,Chapter 10 Practice Quiz,Low-stakes practice quiz,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,4,ch10_assignment,assign,page,Chapter 10 Assignment,Worksheet or activity submission,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,5,ch10_gate,quiz,page,Chapter 10 Completion Gate,Required completion gate to unlock next chapter,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,1,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,1,term1_objective_quiz,quiz,page,TERM1 Objective Quiz,Term objective assessment,2,1,,20,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,8
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,2,term1_written_submission,assign,page,TERM1 Written Submission,Term written paper or worksheet upload,2,1,,20,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,8
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,3,term1_portfolio,assign,page,TERM1 Portfolio / Activity Record,Term activity portfolio,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,13,1,term2_objective_quiz,quiz,page,TERM2 Objective Quiz,Term objective assessment,2,1,,20,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,8
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,13,2,term2_written_submission,assign,page,TERM2 Written Submission,Term written paper or worksheet upload,2,1,,20,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,8
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,13,3,term2_portfolio,assign,page,TERM2 Portfolio / Activity Record,Term activity portfolio,2,1,,10,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,4
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,14,1,final_objective_quiz,quiz,page,Final Exam Objective Test,Final objective assessment,2,1,,40,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",passgrade,0,16
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,14,2,final_written_submission,assign,page,Final Written Paper Upload,Final written assessment upload,2,1,,40,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,16
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,14,3,final_project_portfolio,assign,page,Final Project / Portfolio,Final project or portfolio submission,2,1,,20,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",submit,0,8
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,15,1,completion_summary,page,page,Completion Summary,Course completion and certificate guidance,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,15,2,course_completion_certificate,customcert,page,Download Course Completion Certificate,Verified PDF course completion certificate with certificate ID and QR verification,2,1,,0,1,"Do not add Aadhaar, health, address or parent contact details inside course content.",view,0,
