academic_year,course_code,course_shortname,certificate_enabled,credential_type,certificate_policy_code,requires_plugin,issue_condition,min_completion_percent,min_grade_percent,expiry_enabled,expiry_months,visible_to_student,notes
2029-2030,DPS-GSEB-GUJ-STD03-GEN-PE-2029,DPS-GSEB-GUJ-STD03-GEN-PE-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD04-GEN-GUJ-2029,DPS-GSEB-GUJ-STD04-GEN-GUJ-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD04-GEN-HIN-2029,DPS-GSEB-GUJ-STD04-GEN-HIN-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD04-GEN-ENG-2029,DPS-GSEB-GUJ-STD04-GEN-ENG-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD04-GEN-MATH-2029,DPS-GSEB-GUJ-STD04-GEN-MATH-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD04-GEN-EVS-2029,DPS-GSEB-GUJ-STD04-GEN-EVS-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD04-GEN-ART-2029,DPS-GSEB-GUJ-STD04-GEN-ART-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD04-GEN-PE-2029,DPS-GSEB-GUJ-STD04-GEN-PE-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD05-GEN-GUJ-2029,DPS-GSEB-GUJ-STD05-GEN-GUJ-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD05-GEN-HIN-2029,DPS-GSEB-GUJ-STD05-GEN-HIN-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD05-GEN-ENG-2029,DPS-GSEB-GUJ-STD05-GEN-ENG-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD05-GEN-MATH-2029,DPS-GSEB-GUJ-STD05-GEN-MATH-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD05-GEN-EVS-2029,DPS-GSEB-GUJ-STD05-GEN-EVS-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD05-GEN-ART-2029,DPS-GSEB-GUJ-STD05-GEN-ART-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD05-GEN-PE-2029,DPS-GSEB-GUJ-STD05-GEN-PE-29,1,badge,PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD06-GEN-GUJ-2029,DPS-GSEB-GUJ-STD06-GEN-GUJ-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD06-GEN-HIN-2029,DPS-GSEB-GUJ-STD06-GEN-HIN-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD06-GEN-ENG-2029,DPS-GSEB-GUJ-STD06-GEN-ENG-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD06-GEN-MATH-2029,DPS-GSEB-GUJ-STD06-GEN-MATH-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD06-GEN-SCI-2029,DPS-GSEB-GUJ-STD06-GEN-SCI-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD06-GEN-SS-2029,DPS-GSEB-GUJ-STD06-GEN-SS-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD06-GEN-CS-2029,DPS-GSEB-GUJ-STD06-GEN-CS-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD06-GEN-ART-2029,DPS-GSEB-GUJ-STD06-GEN-ART-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD06-GEN-PE-2029,DPS-GSEB-GUJ-STD06-GEN-PE-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD07-GEN-GUJ-2029,DPS-GSEB-GUJ-STD07-GEN-GUJ-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD07-GEN-HIN-2029,DPS-GSEB-GUJ-STD07-GEN-HIN-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD07-GEN-ENG-2029,DPS-GSEB-GUJ-STD07-GEN-ENG-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD07-GEN-MATH-2029,DPS-GSEB-GUJ-STD07-GEN-MATH-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD07-GEN-SCI-2029,DPS-GSEB-GUJ-STD07-GEN-SCI-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD07-GEN-SS-2029,DPS-GSEB-GUJ-STD07-GEN-SS-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD07-GEN-CS-2029,DPS-GSEB-GUJ-STD07-GEN-CS-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD07-GEN-ART-2029,DPS-GSEB-GUJ-STD07-GEN-ART-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD07-GEN-PE-2029,DPS-GSEB-GUJ-STD07-GEN-PE-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD08-GEN-GUJ-2029,DPS-GSEB-GUJ-STD08-GEN-GUJ-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD08-GEN-HIN-2029,DPS-GSEB-GUJ-STD08-GEN-HIN-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD08-GEN-ENG-2029,DPS-GSEB-GUJ-STD08-GEN-ENG-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD08-GEN-MATH-2029,DPS-GSEB-GUJ-STD08-GEN-MATH-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD08-GEN-SCI-2029,DPS-GSEB-GUJ-STD08-GEN-SCI-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD08-GEN-SS-2029,DPS-GSEB-GUJ-STD08-GEN-SS-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD08-GEN-CS-2029,DPS-GSEB-GUJ-STD08-GEN-CS-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD08-GEN-ART-2029,DPS-GSEB-GUJ-STD08-GEN-ART-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD08-GEN-PE-2029,DPS-GSEB-GUJ-STD08-GEN-PE-29,1,badge,UPPER_PRIMARY_COURSE_COMPLETION_BADGE,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD09-GEN-GUJ-2029,DPS-GSEB-GUJ-STD09-GEN-GUJ-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD09-GEN-HIN-2029,DPS-GSEB-GUJ-STD09-GEN-HIN-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD09-GEN-ENG-2029,DPS-GSEB-GUJ-STD09-GEN-ENG-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD09-GEN-MATH-2029,DPS-GSEB-GUJ-STD09-GEN-MATH-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD09-GEN-SCI-2029,DPS-GSEB-GUJ-STD09-GEN-SCI-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD09-GEN-SS-2029,DPS-GSEB-GUJ-STD09-GEN-SS-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD09-GEN-CS-2029,DPS-GSEB-GUJ-STD09-GEN-CS-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD09-GEN-PE-2029,DPS-GSEB-GUJ-STD09-GEN-PE-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD10-GEN-GUJ-2029,DPS-GSEB-GUJ-STD10-GEN-GUJ-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD10-GEN-HIN-2029,DPS-GSEB-GUJ-STD10-GEN-HIN-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD10-GEN-ENG-2029,DPS-GSEB-GUJ-STD10-GEN-ENG-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD10-GEN-MATH-2029,DPS-GSEB-GUJ-STD10-GEN-MATH-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD10-GEN-SCI-2029,DPS-GSEB-GUJ-STD10-GEN-SCI-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD10-GEN-SS-2029,DPS-GSEB-GUJ-STD10-GEN-SS-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD10-GEN-CS-2029,DPS-GSEB-GUJ-STD10-GEN-CS-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD10-GEN-PE-2029,DPS-GSEB-GUJ-STD10-GEN-PE-29,1,badge,SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-SCI-ENG-2029,DPS-GSEB-GUJ-STD11-SCI-ENG-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-SCI-PHY-2029,DPS-GSEB-GUJ-STD11-SCI-PHY-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-SCI-CHEM-2029,DPS-GSEB-GUJ-STD11-SCI-CHEM-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-SCI-BIO-2029,DPS-GSEB-GUJ-STD11-SCI-BIO-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-SCI-MATH-2029,DPS-GSEB-GUJ-STD11-SCI-MATH-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-SCI-CS-2029,DPS-GSEB-GUJ-STD11-SCI-CS-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-SCI-PE-2029,DPS-GSEB-GUJ-STD11-SCI-PE-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-COM-ENG-2029,DPS-GSEB-GUJ-STD11-COM-ENG-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-COM-ACC-2029,DPS-GSEB-GUJ-STD11-COM-ACC-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-COM-BA-2029,DPS-GSEB-GUJ-STD11-COM-BA-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-COM-ECO-2029,DPS-GSEB-GUJ-STD11-COM-ECO-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-COM-STAT-2029,DPS-GSEB-GUJ-STD11-COM-STAT-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-COM-CS-2029,DPS-GSEB-GUJ-STD11-COM-CS-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-COM-PE-2029,DPS-GSEB-GUJ-STD11-COM-PE-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-ARTS-ENG-2029,DPS-GSEB-GUJ-STD11-ARTS-ENG-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-ARTS-HIST-2029,DPS-GSEB-GUJ-STD11-ARTS-HIST-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-ARTS-GEO-2029,DPS-GSEB-GUJ-STD11-ARTS-GEO-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-ARTS-POLSCI-2029,DPS-GSEB-GUJ-STD11-ARTS-POLSCI-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-ARTS-PSY-2029,DPS-GSEB-GUJ-STD11-ARTS-PSY-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-ARTS-SOC-2029,DPS-GSEB-GUJ-STD11-ARTS-SOC-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD11-ARTS-PE-2029,DPS-GSEB-GUJ-STD11-ARTS-PE-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD12-SCI-ENG-2029,DPS-GSEB-GUJ-STD12-SCI-ENG-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD12-SCI-PHY-2029,DPS-GSEB-GUJ-STD12-SCI-PHY-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD12-SCI-CHEM-2029,DPS-GSEB-GUJ-STD12-SCI-CHEM-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD12-SCI-BIO-2029,DPS-GSEB-GUJ-STD12-SCI-BIO-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD12-SCI-MATH-2029,DPS-GSEB-GUJ-STD12-SCI-MATH-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
2029-2030,DPS-GSEB-GUJ-STD12-SCI-CS-2029,DPS-GSEB-GUJ-STD12-SCI-CS-29,1,badge,HIGHER_SECONDARY_COURSE_COMPLETION_CERT,0,course_completion,100,40,0,,1,Default course completion badge/certificate policy enabled for every course.
