username,role_shortname,context_type,context_identifier,notes
dps.tch.guj.art,editingteacher,course,DPS-GSEB-GUJ-STD04-GEN-ART-2027,Subject teacher for DPS-GSEB-GUJ-STD04-GEN-ART-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD04-GEN-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD04-GEN-PE-27.
dps.tch.guj.guj,editingteacher,course,DPS-GSEB-GUJ-STD05-GEN-GUJ-2027,Subject teacher for DPS-GSEB-GUJ-STD05-GEN-GUJ-27.
dps.tch.guj.hin,editingteacher,course,DPS-GSEB-GUJ-STD05-GEN-HIN-2027,Subject teacher for DPS-GSEB-GUJ-STD05-GEN-HIN-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD05-GEN-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD05-GEN-ENG-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD05-GEN-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD05-GEN-MATH-27.
dps.tch.guj.evs,editingteacher,course,DPS-GSEB-GUJ-STD05-GEN-EVS-2027,Subject teacher for DPS-GSEB-GUJ-STD05-GEN-EVS-27.
dps.tch.guj.art,editingteacher,course,DPS-GSEB-GUJ-STD05-GEN-ART-2027,Subject teacher for DPS-GSEB-GUJ-STD05-GEN-ART-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD05-GEN-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD05-GEN-PE-27.
dps.tch.guj.guj,editingteacher,course,DPS-GSEB-GUJ-STD06-GEN-GUJ-2027,Subject teacher for DPS-GSEB-GUJ-STD06-GEN-GUJ-27.
dps.tch.guj.hin,editingteacher,course,DPS-GSEB-GUJ-STD06-GEN-HIN-2027,Subject teacher for DPS-GSEB-GUJ-STD06-GEN-HIN-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD06-GEN-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD06-GEN-ENG-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD06-GEN-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD06-GEN-MATH-27.
dps.tch.guj.sci,editingteacher,course,DPS-GSEB-GUJ-STD06-GEN-SCI-2027,Subject teacher for DPS-GSEB-GUJ-STD06-GEN-SCI-27.
dps.tch.guj.ss,editingteacher,course,DPS-GSEB-GUJ-STD06-GEN-SS-2027,Subject teacher for DPS-GSEB-GUJ-STD06-GEN-SS-27.
dps.tch.guj.cs,editingteacher,course,DPS-GSEB-GUJ-STD06-GEN-CS-2027,Subject teacher for DPS-GSEB-GUJ-STD06-GEN-CS-27.
dps.tch.guj.art,editingteacher,course,DPS-GSEB-GUJ-STD06-GEN-ART-2027,Subject teacher for DPS-GSEB-GUJ-STD06-GEN-ART-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD06-GEN-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD06-GEN-PE-27.
dps.tch.guj.guj,editingteacher,course,DPS-GSEB-GUJ-STD07-GEN-GUJ-2027,Subject teacher for DPS-GSEB-GUJ-STD07-GEN-GUJ-27.
dps.tch.guj.hin,editingteacher,course,DPS-GSEB-GUJ-STD07-GEN-HIN-2027,Subject teacher for DPS-GSEB-GUJ-STD07-GEN-HIN-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD07-GEN-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD07-GEN-ENG-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD07-GEN-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD07-GEN-MATH-27.
dps.tch.guj.sci,editingteacher,course,DPS-GSEB-GUJ-STD07-GEN-SCI-2027,Subject teacher for DPS-GSEB-GUJ-STD07-GEN-SCI-27.
dps.tch.guj.ss,editingteacher,course,DPS-GSEB-GUJ-STD07-GEN-SS-2027,Subject teacher for DPS-GSEB-GUJ-STD07-GEN-SS-27.
dps.tch.guj.cs,editingteacher,course,DPS-GSEB-GUJ-STD07-GEN-CS-2027,Subject teacher for DPS-GSEB-GUJ-STD07-GEN-CS-27.
dps.tch.guj.art,editingteacher,course,DPS-GSEB-GUJ-STD07-GEN-ART-2027,Subject teacher for DPS-GSEB-GUJ-STD07-GEN-ART-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD07-GEN-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD07-GEN-PE-27.
dps.tch.guj.guj,editingteacher,course,DPS-GSEB-GUJ-STD08-GEN-GUJ-2027,Subject teacher for DPS-GSEB-GUJ-STD08-GEN-GUJ-27.
dps.tch.guj.hin,editingteacher,course,DPS-GSEB-GUJ-STD08-GEN-HIN-2027,Subject teacher for DPS-GSEB-GUJ-STD08-GEN-HIN-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD08-GEN-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD08-GEN-ENG-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD08-GEN-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD08-GEN-MATH-27.
dps.tch.guj.sci,editingteacher,course,DPS-GSEB-GUJ-STD08-GEN-SCI-2027,Subject teacher for DPS-GSEB-GUJ-STD08-GEN-SCI-27.
dps.tch.guj.ss,editingteacher,course,DPS-GSEB-GUJ-STD08-GEN-SS-2027,Subject teacher for DPS-GSEB-GUJ-STD08-GEN-SS-27.
dps.tch.guj.cs,editingteacher,course,DPS-GSEB-GUJ-STD08-GEN-CS-2027,Subject teacher for DPS-GSEB-GUJ-STD08-GEN-CS-27.
dps.tch.guj.art,editingteacher,course,DPS-GSEB-GUJ-STD08-GEN-ART-2027,Subject teacher for DPS-GSEB-GUJ-STD08-GEN-ART-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD08-GEN-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD08-GEN-PE-27.
dps.tch.guj.guj,editingteacher,course,DPS-GSEB-GUJ-STD09-GEN-GUJ-2027,Subject teacher for DPS-GSEB-GUJ-STD09-GEN-GUJ-27.
dps.tch.guj.hin,editingteacher,course,DPS-GSEB-GUJ-STD09-GEN-HIN-2027,Subject teacher for DPS-GSEB-GUJ-STD09-GEN-HIN-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD09-GEN-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD09-GEN-ENG-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD09-GEN-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD09-GEN-MATH-27.
dps.tch.guj.sci,editingteacher,course,DPS-GSEB-GUJ-STD09-GEN-SCI-2027,Subject teacher for DPS-GSEB-GUJ-STD09-GEN-SCI-27.
dps.tch.guj.ss,editingteacher,course,DPS-GSEB-GUJ-STD09-GEN-SS-2027,Subject teacher for DPS-GSEB-GUJ-STD09-GEN-SS-27.
dps.tch.guj.cs,editingteacher,course,DPS-GSEB-GUJ-STD09-GEN-CS-2027,Subject teacher for DPS-GSEB-GUJ-STD09-GEN-CS-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD09-GEN-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD09-GEN-PE-27.
dps.tch.guj.guj,editingteacher,course,DPS-GSEB-GUJ-STD10-GEN-GUJ-2027,Subject teacher for DPS-GSEB-GUJ-STD10-GEN-GUJ-27.
dps.tch.guj.hin,editingteacher,course,DPS-GSEB-GUJ-STD10-GEN-HIN-2027,Subject teacher for DPS-GSEB-GUJ-STD10-GEN-HIN-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD10-GEN-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD10-GEN-ENG-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD10-GEN-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD10-GEN-MATH-27.
dps.tch.guj.sci,editingteacher,course,DPS-GSEB-GUJ-STD10-GEN-SCI-2027,Subject teacher for DPS-GSEB-GUJ-STD10-GEN-SCI-27.
dps.tch.guj.ss,editingteacher,course,DPS-GSEB-GUJ-STD10-GEN-SS-2027,Subject teacher for DPS-GSEB-GUJ-STD10-GEN-SS-27.
dps.tch.guj.cs,editingteacher,course,DPS-GSEB-GUJ-STD10-GEN-CS-2027,Subject teacher for DPS-GSEB-GUJ-STD10-GEN-CS-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD10-GEN-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD10-GEN-PE-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD11-SCI-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD11-SCI-ENG-27.
dps.tch.guj.phy,editingteacher,course,DPS-GSEB-GUJ-STD11-SCI-PHY-2027,Subject teacher for DPS-GSEB-GUJ-STD11-SCI-PHY-27.
dps.tch.guj.chem,editingteacher,course,DPS-GSEB-GUJ-STD11-SCI-CHEM-2027,Subject teacher for DPS-GSEB-GUJ-STD11-SCI-CHEM-27.
dps.tch.guj.bio,editingteacher,course,DPS-GSEB-GUJ-STD11-SCI-BIO-2027,Subject teacher for DPS-GSEB-GUJ-STD11-SCI-BIO-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD11-SCI-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD11-SCI-MATH-27.
dps.tch.guj.cs,editingteacher,course,DPS-GSEB-GUJ-STD11-SCI-CS-2027,Subject teacher for DPS-GSEB-GUJ-STD11-SCI-CS-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD11-SCI-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD11-SCI-PE-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD11-COM-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD11-COM-ENG-27.
dps.tch.guj.acc,editingteacher,course,DPS-GSEB-GUJ-STD11-COM-ACC-2027,Subject teacher for DPS-GSEB-GUJ-STD11-COM-ACC-27.
dps.tch.guj.ba,editingteacher,course,DPS-GSEB-GUJ-STD11-COM-BA-2027,Subject teacher for DPS-GSEB-GUJ-STD11-COM-BA-27.
dps.tch.guj.eco,editingteacher,course,DPS-GSEB-GUJ-STD11-COM-ECO-2027,Subject teacher for DPS-GSEB-GUJ-STD11-COM-ECO-27.
dps.tch.guj.stat,editingteacher,course,DPS-GSEB-GUJ-STD11-COM-STAT-2027,Subject teacher for DPS-GSEB-GUJ-STD11-COM-STAT-27.
dps.tch.guj.cs,editingteacher,course,DPS-GSEB-GUJ-STD11-COM-CS-2027,Subject teacher for DPS-GSEB-GUJ-STD11-COM-CS-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD11-COM-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD11-COM-PE-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD11-ARTS-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD11-ARTS-ENG-27.
dps.tch.guj.hist,editingteacher,course,DPS-GSEB-GUJ-STD11-ARTS-HIST-2027,Subject teacher for DPS-GSEB-GUJ-STD11-ARTS-HIST-27.
dps.tch.guj.geo,editingteacher,course,DPS-GSEB-GUJ-STD11-ARTS-GEO-2027,Subject teacher for DPS-GSEB-GUJ-STD11-ARTS-GEO-27.
dps.tch.guj.polsci,editingteacher,course,DPS-GSEB-GUJ-STD11-ARTS-POLSCI-2027,Subject teacher for DPS-GSEB-GUJ-STD11-ARTS-POLSCI-27.
dps.tch.guj.psy,editingteacher,course,DPS-GSEB-GUJ-STD11-ARTS-PSY-2027,Subject teacher for DPS-GSEB-GUJ-STD11-ARTS-PSY-27.
dps.tch.guj.soc,editingteacher,course,DPS-GSEB-GUJ-STD11-ARTS-SOC-2027,Subject teacher for DPS-GSEB-GUJ-STD11-ARTS-SOC-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD11-ARTS-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD11-ARTS-PE-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD12-SCI-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD12-SCI-ENG-27.
dps.tch.guj.phy,editingteacher,course,DPS-GSEB-GUJ-STD12-SCI-PHY-2027,Subject teacher for DPS-GSEB-GUJ-STD12-SCI-PHY-27.
dps.tch.guj.chem,editingteacher,course,DPS-GSEB-GUJ-STD12-SCI-CHEM-2027,Subject teacher for DPS-GSEB-GUJ-STD12-SCI-CHEM-27.
dps.tch.guj.bio,editingteacher,course,DPS-GSEB-GUJ-STD12-SCI-BIO-2027,Subject teacher for DPS-GSEB-GUJ-STD12-SCI-BIO-27.
dps.tch.guj.math,editingteacher,course,DPS-GSEB-GUJ-STD12-SCI-MATH-2027,Subject teacher for DPS-GSEB-GUJ-STD12-SCI-MATH-27.
dps.tch.guj.cs,editingteacher,course,DPS-GSEB-GUJ-STD12-SCI-CS-2027,Subject teacher for DPS-GSEB-GUJ-STD12-SCI-CS-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD12-SCI-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD12-SCI-PE-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD12-COM-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD12-COM-ENG-27.
dps.tch.guj.acc,editingteacher,course,DPS-GSEB-GUJ-STD12-COM-ACC-2027,Subject teacher for DPS-GSEB-GUJ-STD12-COM-ACC-27.
dps.tch.guj.ba,editingteacher,course,DPS-GSEB-GUJ-STD12-COM-BA-2027,Subject teacher for DPS-GSEB-GUJ-STD12-COM-BA-27.
dps.tch.guj.eco,editingteacher,course,DPS-GSEB-GUJ-STD12-COM-ECO-2027,Subject teacher for DPS-GSEB-GUJ-STD12-COM-ECO-27.
dps.tch.guj.stat,editingteacher,course,DPS-GSEB-GUJ-STD12-COM-STAT-2027,Subject teacher for DPS-GSEB-GUJ-STD12-COM-STAT-27.
dps.tch.guj.cs,editingteacher,course,DPS-GSEB-GUJ-STD12-COM-CS-2027,Subject teacher for DPS-GSEB-GUJ-STD12-COM-CS-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD12-COM-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD12-COM-PE-27.
dps.tch.guj.eng,editingteacher,course,DPS-GSEB-GUJ-STD12-ARTS-ENG-2027,Subject teacher for DPS-GSEB-GUJ-STD12-ARTS-ENG-27.
dps.tch.guj.hist,editingteacher,course,DPS-GSEB-GUJ-STD12-ARTS-HIST-2027,Subject teacher for DPS-GSEB-GUJ-STD12-ARTS-HIST-27.
dps.tch.guj.geo,editingteacher,course,DPS-GSEB-GUJ-STD12-ARTS-GEO-2027,Subject teacher for DPS-GSEB-GUJ-STD12-ARTS-GEO-27.
dps.tch.guj.polsci,editingteacher,course,DPS-GSEB-GUJ-STD12-ARTS-POLSCI-2027,Subject teacher for DPS-GSEB-GUJ-STD12-ARTS-POLSCI-27.
dps.tch.guj.psy,editingteacher,course,DPS-GSEB-GUJ-STD12-ARTS-PSY-2027,Subject teacher for DPS-GSEB-GUJ-STD12-ARTS-PSY-27.
dps.tch.guj.soc,editingteacher,course,DPS-GSEB-GUJ-STD12-ARTS-SOC-2027,Subject teacher for DPS-GSEB-GUJ-STD12-ARTS-SOC-27.
dps.tch.guj.pe,editingteacher,course,DPS-GSEB-GUJ-STD12-ARTS-PE-2027,Subject teacher for DPS-GSEB-GUJ-STD12-ARTS-PE-27.
dps.tch.eng.guj,editingteacher,course,DPS-GSEB-ENG-STD01-GEN-GUJ-2027,Subject teacher for DPS-GSEB-ENG-STD01-GEN-GUJ-27.
dps.tch.eng.hin,editingteacher,course,DPS-GSEB-ENG-STD01-GEN-HIN-2027,Subject teacher for DPS-GSEB-ENG-STD01-GEN-HIN-27.
dps.tch.eng.eng,editingteacher,course,DPS-GSEB-ENG-STD01-GEN-ENG-2027,Subject teacher for DPS-GSEB-ENG-STD01-GEN-ENG-27.
dps.tch.eng.math,editingteacher,course,DPS-GSEB-ENG-STD01-GEN-MATH-2027,Subject teacher for DPS-GSEB-ENG-STD01-GEN-MATH-27.
dps.tch.eng.evs,editingteacher,course,DPS-GSEB-ENG-STD01-GEN-EVS-2027,Subject teacher for DPS-GSEB-ENG-STD01-GEN-EVS-27.
dps.tch.eng.art,editingteacher,course,DPS-GSEB-ENG-STD01-GEN-ART-2027,Subject teacher for DPS-GSEB-ENG-STD01-GEN-ART-27.
dps.tch.eng.pe,editingteacher,course,DPS-GSEB-ENG-STD01-GEN-PE-2027,Subject teacher for DPS-GSEB-ENG-STD01-GEN-PE-27.
dps.tch.eng.guj,editingteacher,course,DPS-GSEB-ENG-STD02-GEN-GUJ-2027,Subject teacher for DPS-GSEB-ENG-STD02-GEN-GUJ-27.
dps.tch.eng.hin,editingteacher,course,DPS-GSEB-ENG-STD02-GEN-HIN-2027,Subject teacher for DPS-GSEB-ENG-STD02-GEN-HIN-27.
dps.tch.eng.eng,editingteacher,course,DPS-GSEB-ENG-STD02-GEN-ENG-2027,Subject teacher for DPS-GSEB-ENG-STD02-GEN-ENG-27.
dps.tch.eng.math,editingteacher,course,DPS-GSEB-ENG-STD02-GEN-MATH-2027,Subject teacher for DPS-GSEB-ENG-STD02-GEN-MATH-27.
dps.tch.eng.evs,editingteacher,course,DPS-GSEB-ENG-STD02-GEN-EVS-2027,Subject teacher for DPS-GSEB-ENG-STD02-GEN-EVS-27.
dps.tch.eng.art,editingteacher,course,DPS-GSEB-ENG-STD02-GEN-ART-2027,Subject teacher for DPS-GSEB-ENG-STD02-GEN-ART-27.
dps.tch.eng.pe,editingteacher,course,DPS-GSEB-ENG-STD02-GEN-PE-2027,Subject teacher for DPS-GSEB-ENG-STD02-GEN-PE-27.
dps.tch.eng.guj,editingteacher,course,DPS-GSEB-ENG-STD03-GEN-GUJ-2027,Subject teacher for DPS-GSEB-ENG-STD03-GEN-GUJ-27.
dps.tch.eng.hin,editingteacher,course,DPS-GSEB-ENG-STD03-GEN-HIN-2027,Subject teacher for DPS-GSEB-ENG-STD03-GEN-HIN-27.
dps.tch.eng.eng,editingteacher,course,DPS-GSEB-ENG-STD03-GEN-ENG-2027,Subject teacher for DPS-GSEB-ENG-STD03-GEN-ENG-27.
dps.tch.eng.math,editingteacher,course,DPS-GSEB-ENG-STD03-GEN-MATH-2027,Subject teacher for DPS-GSEB-ENG-STD03-GEN-MATH-27.
dps.tch.eng.evs,editingteacher,course,DPS-GSEB-ENG-STD03-GEN-EVS-2027,Subject teacher for DPS-GSEB-ENG-STD03-GEN-EVS-27.
dps.tch.eng.art,editingteacher,course,DPS-GSEB-ENG-STD03-GEN-ART-2027,Subject teacher for DPS-GSEB-ENG-STD03-GEN-ART-27.
dps.tch.eng.pe,editingteacher,course,DPS-GSEB-ENG-STD03-GEN-PE-2027,Subject teacher for DPS-GSEB-ENG-STD03-GEN-PE-27.
dps.tch.eng.guj,editingteacher,course,DPS-GSEB-ENG-STD04-GEN-GUJ-2027,Subject teacher for DPS-GSEB-ENG-STD04-GEN-GUJ-27.
dps.tch.eng.hin,editingteacher,course,DPS-GSEB-ENG-STD04-GEN-HIN-2027,Subject teacher for DPS-GSEB-ENG-STD04-GEN-HIN-27.
dps.tch.eng.eng,editingteacher,course,DPS-GSEB-ENG-STD04-GEN-ENG-2027,Subject teacher for DPS-GSEB-ENG-STD04-GEN-ENG-27.
dps.tch.eng.math,editingteacher,course,DPS-GSEB-ENG-STD04-GEN-MATH-2027,Subject teacher for DPS-GSEB-ENG-STD04-GEN-MATH-27.
dps.tch.eng.evs,editingteacher,course,DPS-GSEB-ENG-STD04-GEN-EVS-2027,Subject teacher for DPS-GSEB-ENG-STD04-GEN-EVS-27.
dps.tch.eng.art,editingteacher,course,DPS-GSEB-ENG-STD04-GEN-ART-2027,Subject teacher for DPS-GSEB-ENG-STD04-GEN-ART-27.
dps.tch.eng.pe,editingteacher,course,DPS-GSEB-ENG-STD04-GEN-PE-2027,Subject teacher for DPS-GSEB-ENG-STD04-GEN-PE-27.
dps.tch.eng.guj,editingteacher,course,DPS-GSEB-ENG-STD05-GEN-GUJ-2027,Subject teacher for DPS-GSEB-ENG-STD05-GEN-GUJ-27.
dps.tch.eng.hin,editingteacher,course,DPS-GSEB-ENG-STD05-GEN-HIN-2027,Subject teacher for DPS-GSEB-ENG-STD05-GEN-HIN-27.
dps.tch.eng.eng,editingteacher,course,DPS-GSEB-ENG-STD05-GEN-ENG-2027,Subject teacher for DPS-GSEB-ENG-STD05-GEN-ENG-27.
dps.tch.eng.math,editingteacher,course,DPS-GSEB-ENG-STD05-GEN-MATH-2027,Subject teacher for DPS-GSEB-ENG-STD05-GEN-MATH-27.
dps.tch.eng.evs,editingteacher,course,DPS-GSEB-ENG-STD05-GEN-EVS-2027,Subject teacher for DPS-GSEB-ENG-STD05-GEN-EVS-27.
dps.tch.eng.art,editingteacher,course,DPS-GSEB-ENG-STD05-GEN-ART-2027,Subject teacher for DPS-GSEB-ENG-STD05-GEN-ART-27.
dps.tch.eng.pe,editingteacher,course,DPS-GSEB-ENG-STD05-GEN-PE-2027,Subject teacher for DPS-GSEB-ENG-STD05-GEN-PE-27.
dps.tch.eng.guj,editingteacher,course,DPS-GSEB-ENG-STD06-GEN-GUJ-2027,Subject teacher for DPS-GSEB-ENG-STD06-GEN-GUJ-27.
dps.tch.eng.hin,editingteacher,course,DPS-GSEB-ENG-STD06-GEN-HIN-2027,Subject teacher for DPS-GSEB-ENG-STD06-GEN-HIN-27.
dps.tch.eng.eng,editingteacher,course,DPS-GSEB-ENG-STD06-GEN-ENG-2027,Subject teacher for DPS-GSEB-ENG-STD06-GEN-ENG-27.
dps.tch.eng.math,editingteacher,course,DPS-GSEB-ENG-STD06-GEN-MATH-2027,Subject teacher for DPS-GSEB-ENG-STD06-GEN-MATH-27.
dps.tch.eng.sci,editingteacher,course,DPS-GSEB-ENG-STD06-GEN-SCI-2027,Subject teacher for DPS-GSEB-ENG-STD06-GEN-SCI-27.
dps.tch.eng.ss,editingteacher,course,DPS-GSEB-ENG-STD06-GEN-SS-2027,Subject teacher for DPS-GSEB-ENG-STD06-GEN-SS-27.
dps.tch.eng.cs,editingteacher,course,DPS-GSEB-ENG-STD06-GEN-CS-2027,Subject teacher for DPS-GSEB-ENG-STD06-GEN-CS-27.
dps.tch.eng.art,editingteacher,course,DPS-GSEB-ENG-STD06-GEN-ART-2027,Subject teacher for DPS-GSEB-ENG-STD06-GEN-ART-27.
dps.tch.eng.pe,editingteacher,course,DPS-GSEB-ENG-STD06-GEN-PE-2027,Subject teacher for DPS-GSEB-ENG-STD06-GEN-PE-27.
dps.tch.eng.guj,editingteacher,course,DPS-GSEB-ENG-STD07-GEN-GUJ-2027,Subject teacher for DPS-GSEB-ENG-STD07-GEN-GUJ-27.
