parent_username,student_username,relationship,role_shortname,allow_grade_view,allow_activity_report_view,notes
dps.par.00101,dps.stu.00113,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00102,dps.stu.00114,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00103,dps.stu.00115,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00104,dps.stu.00116,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00105,dps.stu.00117,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00106,dps.stu.00118,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00107,dps.stu.00119,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00108,dps.stu.00120,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00109,dps.stu.00121,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00109,dps.stu.00122,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00110,dps.stu.00123,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00111,dps.stu.00124,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00112,dps.stu.00125,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00113,dps.stu.00126,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00114,dps.stu.00127,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00115,dps.stu.00128,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00116,dps.stu.00129,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00117,dps.stu.00130,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00118,dps.stu.00131,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00118,dps.stu.00132,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00119,dps.stu.00133,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00120,dps.stu.00134,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00121,dps.stu.00135,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00122,dps.stu.00136,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00123,dps.stu.00137,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00124,dps.stu.00138,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00125,dps.stu.00139,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00126,dps.stu.00140,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00127,dps.stu.00141,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00127,dps.stu.00142,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00128,dps.stu.00143,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00129,dps.stu.00144,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00130,dps.stu.00145,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00131,dps.stu.00146,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00132,dps.stu.00147,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00133,dps.stu.00148,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00134,dps.stu.00149,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00135,dps.stu.00150,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00136,dps.stu.00151,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00136,dps.stu.00152,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00137,dps.stu.00153,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00138,dps.stu.00154,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00139,dps.stu.00155,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00140,dps.stu.00156,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00141,dps.stu.00157,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00142,dps.stu.00158,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00143,dps.stu.00159,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00144,dps.stu.00160,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00145,dps.stu.00161,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00145,dps.stu.00162,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00146,dps.stu.00163,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00147,dps.stu.00164,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00148,dps.stu.00165,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00149,dps.stu.00166,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00150,dps.stu.00167,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00151,dps.stu.00168,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00152,dps.stu.00169,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00153,dps.stu.00170,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00154,dps.stu.00171,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00154,dps.stu.00172,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00155,dps.stu.00173,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00156,dps.stu.00174,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00157,dps.stu.00175,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00158,dps.stu.00176,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00159,dps.stu.00177,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00160,dps.stu.00178,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00161,dps.stu.00179,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00162,dps.stu.00180,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00163,dps.stu.00181,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00163,dps.stu.00182,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00164,dps.stu.00183,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00165,dps.stu.00184,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00166,dps.stu.00185,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00167,dps.stu.00186,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00168,dps.stu.00187,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00169,dps.stu.00188,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00170,dps.stu.00189,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00171,dps.stu.00190,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00172,dps.stu.00191,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00172,dps.stu.00192,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00173,dps.stu.00193,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00174,dps.stu.00194,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00175,dps.stu.00195,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00176,dps.stu.00196,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00177,dps.stu.00197,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00178,dps.stu.00198,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00179,dps.stu.00199,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00180,dps.stu.00200,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00181,dps.stu.00201,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00181,dps.stu.00202,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00182,dps.stu.00203,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00183,dps.stu.00204,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00184,dps.stu.00205,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00185,dps.stu.00206,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00186,dps.stu.00207,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00187,dps.stu.00208,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00188,dps.stu.00209,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00189,dps.stu.00210,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00190,dps.stu.00211,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00190,dps.stu.00212,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00191,dps.stu.00213,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00192,dps.stu.00214,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00193,dps.stu.00215,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00194,dps.stu.00216,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00195,dps.stu.00217,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00196,dps.stu.00218,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00197,dps.stu.00219,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00198,dps.stu.00220,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00199,dps.stu.00221,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00199,dps.stu.00222,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00200,dps.stu.00223,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00201,dps.stu.00224,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00202,dps.stu.00225,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00203,dps.stu.00226,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00204,dps.stu.00227,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00205,dps.stu.00228,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00206,dps.stu.00229,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00207,dps.stu.00230,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00208,dps.stu.00231,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00208,dps.stu.00232,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00209,dps.stu.00233,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00210,dps.stu.00234,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00211,dps.stu.00235,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00212,dps.stu.00236,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00213,dps.stu.00237,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00214,dps.stu.00238,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00215,dps.stu.00239,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00216,dps.stu.00240,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00217,dps.stu.00241,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00217,dps.stu.00242,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00218,dps.stu.00243,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00219,dps.stu.00244,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00220,dps.stu.00245,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00221,dps.stu.00246,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00222,dps.stu.00247,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00223,dps.stu.00248,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00224,dps.stu.00249,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00225,dps.stu.00250,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00226,dps.stu.00251,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00226,dps.stu.00252,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00227,dps.stu.00253,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00228,dps.stu.00254,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00229,dps.stu.00255,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00230,dps.stu.00256,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00231,dps.stu.00257,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00232,dps.stu.00258,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00233,dps.stu.00259,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00234,dps.stu.00260,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00235,dps.stu.00261,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00235,dps.stu.00262,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00236,dps.stu.00263,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00237,dps.stu.00264,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00238,dps.stu.00265,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00239,dps.stu.00266,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00240,dps.stu.00267,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00241,dps.stu.00268,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00242,dps.stu.00269,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00243,dps.stu.00270,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00244,dps.stu.00271,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00244,dps.stu.00272,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00245,dps.stu.00273,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00246,dps.stu.00274,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00247,dps.stu.00275,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00248,dps.stu.00276,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00249,dps.stu.00277,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00250,dps.stu.00278,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00251,dps.stu.00279,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00252,dps.stu.00280,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00253,dps.stu.00281,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00253,dps.stu.00282,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00254,dps.stu.00283,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00255,dps.stu.00284,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00256,dps.stu.00285,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00257,dps.stu.00286,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00258,dps.stu.00287,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00259,dps.stu.00288,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00260,dps.stu.00289,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00261,dps.stu.00290,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00262,dps.stu.00291,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00262,dps.stu.00292,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00263,dps.stu.00293,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00264,dps.stu.00294,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00265,dps.stu.00295,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00266,dps.stu.00296,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00267,dps.stu.00297,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00268,dps.stu.00298,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00269,dps.stu.00299,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00270,dps.stu.00300,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00271,dps.stu.00301,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00271,dps.stu.00302,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00272,dps.stu.00303,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00273,dps.stu.00304,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00274,dps.stu.00305,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00275,dps.stu.00306,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00276,dps.stu.00307,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00277,dps.stu.00308,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00278,dps.stu.00309,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00279,dps.stu.00310,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00280,dps.stu.00311,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00280,dps.stu.00312,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00281,dps.stu.00313,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00282,dps.stu.00314,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00283,dps.stu.00315,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00284,dps.stu.00316,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00285,dps.stu.00317,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00286,dps.stu.00318,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00287,dps.stu.00319,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00288,dps.stu.00320,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00289,dps.stu.00321,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00289,dps.stu.00322,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00290,dps.stu.00323,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00291,dps.stu.00324,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00292,dps.stu.00325,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00293,dps.stu.00326,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00294,dps.stu.00327,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00295,dps.stu.00328,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00296,dps.stu.00329,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00297,dps.stu.00330,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00298,dps.stu.00331,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00298,dps.stu.00332,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00299,dps.stu.00333,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00300,dps.stu.00334,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00301,dps.stu.00335,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00302,dps.stu.00336,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00303,dps.stu.00337,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00304,dps.stu.00338,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00305,dps.stu.00339,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00306,dps.stu.00340,Parent,parent,1,1,Single-student parent for local testing.
dps.par.00307,dps.stu.00341,Guardian,parent,1,1,Shared sibling parent for local testing.
dps.par.00307,dps.stu.00342,Guardian,parent,1,1,Shared sibling parent for local testing.
