academic_year,grade_code,minimum_attendance_percent,notes
2026-2027,UNI_PG_MBA_Y2,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_SCM_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_SCM_Y2,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_LAW_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_LAW_Y2,75,Generated fallback attendance policy from grade-band setup.
2026-2027,MGT_PGDM_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,MGT_PGDM_Y2,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PHD_AI,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PHD_DS,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PHD_RE,75,Generated fallback attendance policy from grade-band setup.
2026-2027,CERT_DRONE,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BCA_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BCA_Y2,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BCA_Y3,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BBA_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BBA_Y2,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BBA_Y3,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BARCH_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BARCH_Y5,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BPT_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BPT_Y4,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BSW_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BFA_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_UG_BHM_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_MCA_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_MCA_Y2,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_MARCH_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_MPT_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_MSW_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_MFA_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_PG_MCOM_Y1,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_CERT_FSD,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_CERT_DATA,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_CERT_CLOUD,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_CERT_MLOPS,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_CERT_PM,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_CERT_AGILE,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_CERT_CYBER,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_CERT_WEB3,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_CERT_DIGMKT,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_SWAYAM_01,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_NSDC_L4,75,Generated fallback attendance policy from grade-band setup.
2026-2027,LMS_NSDC_L6,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_RES_MPHIL,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_RES_PDF,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_RES_DSC,75,Generated fallback attendance policy from grade-band setup.
2026-2027,UNI_RES_DLITT,75,Generated fallback attendance policy from grade-band setup.
