cohort_code,name,idnumber,context_category_code,board_code,school_code,medium_code,grade_code,stream_code,division_code,academic_year,visible,description
DPS-2026-GSEB-ENG-PRE02-GEN-E,DPS 2026-2027 English Medium Preschool GEN Division E,DPS-2026-GSEB-ENG-PRE02-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02_GEN,GSEB,DPS,ENG,PRE02,GEN,E,2026-2027,1,Student cohort for Preschool GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-PRE02-GEN-F,DPS 2026-2027 English Medium Preschool GEN Division F,DPS-2026-GSEB-ENG-PRE02-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE02_GEN,GSEB,DPS,ENG,PRE02,GEN,F,2026-2027,1,Student cohort for Preschool GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-PRE03-GEN-A,DPS 2026-2027 English Medium LKG (Lower Kindergarten) GEN Division A,DPS-2026-GSEB-ENG-PRE03-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03_GEN,GSEB,DPS,ENG,PRE03,GEN,A,2026-2027,1,Student cohort for LKG (Lower Kindergarten) GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-PRE03-GEN-B,DPS 2026-2027 English Medium LKG (Lower Kindergarten) GEN Division B,DPS-2026-GSEB-ENG-PRE03-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03_GEN,GSEB,DPS,ENG,PRE03,GEN,B,2026-2027,1,Student cohort for LKG (Lower Kindergarten) GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-PRE03-GEN-C,DPS 2026-2027 English Medium LKG (Lower Kindergarten) GEN Division C,DPS-2026-GSEB-ENG-PRE03-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03_GEN,GSEB,DPS,ENG,PRE03,GEN,C,2026-2027,1,Student cohort for LKG (Lower Kindergarten) GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-PRE03-GEN-D,DPS 2026-2027 English Medium LKG (Lower Kindergarten) GEN Division D,DPS-2026-GSEB-ENG-PRE03-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03_GEN,GSEB,DPS,ENG,PRE03,GEN,D,2026-2027,1,Student cohort for LKG (Lower Kindergarten) GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-PRE03-GEN-E,DPS 2026-2027 English Medium LKG (Lower Kindergarten) GEN Division E,DPS-2026-GSEB-ENG-PRE03-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03_GEN,GSEB,DPS,ENG,PRE03,GEN,E,2026-2027,1,Student cohort for LKG (Lower Kindergarten) GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-PRE03-GEN-F,DPS 2026-2027 English Medium LKG (Lower Kindergarten) GEN Division F,DPS-2026-GSEB-ENG-PRE03-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE03_GEN,GSEB,DPS,ENG,PRE03,GEN,F,2026-2027,1,Student cohort for LKG (Lower Kindergarten) GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-PRE04-GEN-A,DPS 2026-2027 English Medium UKG (Upper Kindergarten) GEN Division A,DPS-2026-GSEB-ENG-PRE04-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04_GEN,GSEB,DPS,ENG,PRE04,GEN,A,2026-2027,1,Student cohort for UKG (Upper Kindergarten) GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-PRE04-GEN-B,DPS 2026-2027 English Medium UKG (Upper Kindergarten) GEN Division B,DPS-2026-GSEB-ENG-PRE04-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04_GEN,GSEB,DPS,ENG,PRE04,GEN,B,2026-2027,1,Student cohort for UKG (Upper Kindergarten) GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-PRE04-GEN-C,DPS 2026-2027 English Medium UKG (Upper Kindergarten) GEN Division C,DPS-2026-GSEB-ENG-PRE04-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04_GEN,GSEB,DPS,ENG,PRE04,GEN,C,2026-2027,1,Student cohort for UKG (Upper Kindergarten) GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-PRE04-GEN-D,DPS 2026-2027 English Medium UKG (Upper Kindergarten) GEN Division D,DPS-2026-GSEB-ENG-PRE04-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04_GEN,GSEB,DPS,ENG,PRE04,GEN,D,2026-2027,1,Student cohort for UKG (Upper Kindergarten) GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-PRE04-GEN-E,DPS 2026-2027 English Medium UKG (Upper Kindergarten) GEN Division E,DPS-2026-GSEB-ENG-PRE04-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04_GEN,GSEB,DPS,ENG,PRE04,GEN,E,2026-2027,1,Student cohort for UKG (Upper Kindergarten) GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-PRE04-GEN-F,DPS 2026-2027 English Medium UKG (Upper Kindergarten) GEN Division F,DPS-2026-GSEB-ENG-PRE04-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_PRE04_GEN,GSEB,DPS,ENG,PRE04,GEN,F,2026-2027,1,Student cohort for UKG (Upper Kindergarten) GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-STD01-GEN-A,DPS 2026-2027 English Medium Standard 1 GEN Division A,DPS-2026-GSEB-ENG-STD01-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD01_GEN,GSEB,DPS,ENG,STD01,GEN,A,2026-2027,1,Student cohort for Standard 1 GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-STD01-GEN-B,DPS 2026-2027 English Medium Standard 1 GEN Division B,DPS-2026-GSEB-ENG-STD01-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD01_GEN,GSEB,DPS,ENG,STD01,GEN,B,2026-2027,1,Student cohort for Standard 1 GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-STD01-GEN-C,DPS 2026-2027 English Medium Standard 1 GEN Division C,DPS-2026-GSEB-ENG-STD01-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD01_GEN,GSEB,DPS,ENG,STD01,GEN,C,2026-2027,1,Student cohort for Standard 1 GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-STD01-GEN-D,DPS 2026-2027 English Medium Standard 1 GEN Division D,DPS-2026-GSEB-ENG-STD01-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD01_GEN,GSEB,DPS,ENG,STD01,GEN,D,2026-2027,1,Student cohort for Standard 1 GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-STD01-GEN-E,DPS 2026-2027 English Medium Standard 1 GEN Division E,DPS-2026-GSEB-ENG-STD01-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD01_GEN,GSEB,DPS,ENG,STD01,GEN,E,2026-2027,1,Student cohort for Standard 1 GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-STD01-GEN-F,DPS 2026-2027 English Medium Standard 1 GEN Division F,DPS-2026-GSEB-ENG-STD01-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD01_GEN,GSEB,DPS,ENG,STD01,GEN,F,2026-2027,1,Student cohort for Standard 1 GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-STD02-GEN-A,DPS 2026-2027 English Medium Standard 2 GEN Division A,DPS-2026-GSEB-ENG-STD02-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD02_GEN,GSEB,DPS,ENG,STD02,GEN,A,2026-2027,1,Student cohort for Standard 2 GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-STD02-GEN-B,DPS 2026-2027 English Medium Standard 2 GEN Division B,DPS-2026-GSEB-ENG-STD02-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD02_GEN,GSEB,DPS,ENG,STD02,GEN,B,2026-2027,1,Student cohort for Standard 2 GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-STD02-GEN-C,DPS 2026-2027 English Medium Standard 2 GEN Division C,DPS-2026-GSEB-ENG-STD02-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD02_GEN,GSEB,DPS,ENG,STD02,GEN,C,2026-2027,1,Student cohort for Standard 2 GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-STD02-GEN-D,DPS 2026-2027 English Medium Standard 2 GEN Division D,DPS-2026-GSEB-ENG-STD02-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD02_GEN,GSEB,DPS,ENG,STD02,GEN,D,2026-2027,1,Student cohort for Standard 2 GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-STD02-GEN-E,DPS 2026-2027 English Medium Standard 2 GEN Division E,DPS-2026-GSEB-ENG-STD02-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD02_GEN,GSEB,DPS,ENG,STD02,GEN,E,2026-2027,1,Student cohort for Standard 2 GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-STD02-GEN-F,DPS 2026-2027 English Medium Standard 2 GEN Division F,DPS-2026-GSEB-ENG-STD02-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD02_GEN,GSEB,DPS,ENG,STD02,GEN,F,2026-2027,1,Student cohort for Standard 2 GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-STD03-GEN-A,DPS 2026-2027 English Medium Standard 3 GEN Division A,DPS-2026-GSEB-ENG-STD03-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD03_GEN,GSEB,DPS,ENG,STD03,GEN,A,2026-2027,1,Student cohort for Standard 3 GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-STD03-GEN-B,DPS 2026-2027 English Medium Standard 3 GEN Division B,DPS-2026-GSEB-ENG-STD03-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD03_GEN,GSEB,DPS,ENG,STD03,GEN,B,2026-2027,1,Student cohort for Standard 3 GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-STD03-GEN-C,DPS 2026-2027 English Medium Standard 3 GEN Division C,DPS-2026-GSEB-ENG-STD03-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD03_GEN,GSEB,DPS,ENG,STD03,GEN,C,2026-2027,1,Student cohort for Standard 3 GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-STD03-GEN-D,DPS 2026-2027 English Medium Standard 3 GEN Division D,DPS-2026-GSEB-ENG-STD03-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD03_GEN,GSEB,DPS,ENG,STD03,GEN,D,2026-2027,1,Student cohort for Standard 3 GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-STD03-GEN-E,DPS 2026-2027 English Medium Standard 3 GEN Division E,DPS-2026-GSEB-ENG-STD03-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD03_GEN,GSEB,DPS,ENG,STD03,GEN,E,2026-2027,1,Student cohort for Standard 3 GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-STD03-GEN-F,DPS 2026-2027 English Medium Standard 3 GEN Division F,DPS-2026-GSEB-ENG-STD03-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD03_GEN,GSEB,DPS,ENG,STD03,GEN,F,2026-2027,1,Student cohort for Standard 3 GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-STD04-GEN-A,DPS 2026-2027 English Medium Standard 4 GEN Division A,DPS-2026-GSEB-ENG-STD04-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD04_GEN,GSEB,DPS,ENG,STD04,GEN,A,2026-2027,1,Student cohort for Standard 4 GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-STD04-GEN-B,DPS 2026-2027 English Medium Standard 4 GEN Division B,DPS-2026-GSEB-ENG-STD04-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD04_GEN,GSEB,DPS,ENG,STD04,GEN,B,2026-2027,1,Student cohort for Standard 4 GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-STD04-GEN-C,DPS 2026-2027 English Medium Standard 4 GEN Division C,DPS-2026-GSEB-ENG-STD04-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD04_GEN,GSEB,DPS,ENG,STD04,GEN,C,2026-2027,1,Student cohort for Standard 4 GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-STD04-GEN-D,DPS 2026-2027 English Medium Standard 4 GEN Division D,DPS-2026-GSEB-ENG-STD04-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD04_GEN,GSEB,DPS,ENG,STD04,GEN,D,2026-2027,1,Student cohort for Standard 4 GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-STD04-GEN-E,DPS 2026-2027 English Medium Standard 4 GEN Division E,DPS-2026-GSEB-ENG-STD04-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD04_GEN,GSEB,DPS,ENG,STD04,GEN,E,2026-2027,1,Student cohort for Standard 4 GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-STD04-GEN-F,DPS 2026-2027 English Medium Standard 4 GEN Division F,DPS-2026-GSEB-ENG-STD04-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD04_GEN,GSEB,DPS,ENG,STD04,GEN,F,2026-2027,1,Student cohort for Standard 4 GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-STD05-GEN-A,DPS 2026-2027 English Medium Standard 5 GEN Division A,DPS-2026-GSEB-ENG-STD05-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD05_GEN,GSEB,DPS,ENG,STD05,GEN,A,2026-2027,1,Student cohort for Standard 5 GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-STD05-GEN-B,DPS 2026-2027 English Medium Standard 5 GEN Division B,DPS-2026-GSEB-ENG-STD05-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD05_GEN,GSEB,DPS,ENG,STD05,GEN,B,2026-2027,1,Student cohort for Standard 5 GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-STD05-GEN-C,DPS 2026-2027 English Medium Standard 5 GEN Division C,DPS-2026-GSEB-ENG-STD05-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD05_GEN,GSEB,DPS,ENG,STD05,GEN,C,2026-2027,1,Student cohort for Standard 5 GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-STD05-GEN-D,DPS 2026-2027 English Medium Standard 5 GEN Division D,DPS-2026-GSEB-ENG-STD05-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD05_GEN,GSEB,DPS,ENG,STD05,GEN,D,2026-2027,1,Student cohort for Standard 5 GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-STD05-GEN-E,DPS 2026-2027 English Medium Standard 5 GEN Division E,DPS-2026-GSEB-ENG-STD05-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD05_GEN,GSEB,DPS,ENG,STD05,GEN,E,2026-2027,1,Student cohort for Standard 5 GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-STD05-GEN-F,DPS 2026-2027 English Medium Standard 5 GEN Division F,DPS-2026-GSEB-ENG-STD05-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD05_GEN,GSEB,DPS,ENG,STD05,GEN,F,2026-2027,1,Student cohort for Standard 5 GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-STD06-GEN-A,DPS 2026-2027 English Medium Standard 6 GEN Division A,DPS-2026-GSEB-ENG-STD06-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD06_GEN,GSEB,DPS,ENG,STD06,GEN,A,2026-2027,1,Student cohort for Standard 6 GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-STD06-GEN-B,DPS 2026-2027 English Medium Standard 6 GEN Division B,DPS-2026-GSEB-ENG-STD06-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD06_GEN,GSEB,DPS,ENG,STD06,GEN,B,2026-2027,1,Student cohort for Standard 6 GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-STD06-GEN-C,DPS 2026-2027 English Medium Standard 6 GEN Division C,DPS-2026-GSEB-ENG-STD06-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD06_GEN,GSEB,DPS,ENG,STD06,GEN,C,2026-2027,1,Student cohort for Standard 6 GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-STD06-GEN-D,DPS 2026-2027 English Medium Standard 6 GEN Division D,DPS-2026-GSEB-ENG-STD06-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD06_GEN,GSEB,DPS,ENG,STD06,GEN,D,2026-2027,1,Student cohort for Standard 6 GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-STD06-GEN-E,DPS 2026-2027 English Medium Standard 6 GEN Division E,DPS-2026-GSEB-ENG-STD06-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD06_GEN,GSEB,DPS,ENG,STD06,GEN,E,2026-2027,1,Student cohort for Standard 6 GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-STD06-GEN-F,DPS 2026-2027 English Medium Standard 6 GEN Division F,DPS-2026-GSEB-ENG-STD06-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD06_GEN,GSEB,DPS,ENG,STD06,GEN,F,2026-2027,1,Student cohort for Standard 6 GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-STD07-GEN-A,DPS 2026-2027 English Medium Standard 7 GEN Division A,DPS-2026-GSEB-ENG-STD07-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD07_GEN,GSEB,DPS,ENG,STD07,GEN,A,2026-2027,1,Student cohort for Standard 7 GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-STD07-GEN-B,DPS 2026-2027 English Medium Standard 7 GEN Division B,DPS-2026-GSEB-ENG-STD07-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD07_GEN,GSEB,DPS,ENG,STD07,GEN,B,2026-2027,1,Student cohort for Standard 7 GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-STD07-GEN-C,DPS 2026-2027 English Medium Standard 7 GEN Division C,DPS-2026-GSEB-ENG-STD07-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD07_GEN,GSEB,DPS,ENG,STD07,GEN,C,2026-2027,1,Student cohort for Standard 7 GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-STD07-GEN-D,DPS 2026-2027 English Medium Standard 7 GEN Division D,DPS-2026-GSEB-ENG-STD07-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD07_GEN,GSEB,DPS,ENG,STD07,GEN,D,2026-2027,1,Student cohort for Standard 7 GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-STD07-GEN-E,DPS 2026-2027 English Medium Standard 7 GEN Division E,DPS-2026-GSEB-ENG-STD07-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD07_GEN,GSEB,DPS,ENG,STD07,GEN,E,2026-2027,1,Student cohort for Standard 7 GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-STD07-GEN-F,DPS 2026-2027 English Medium Standard 7 GEN Division F,DPS-2026-GSEB-ENG-STD07-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD07_GEN,GSEB,DPS,ENG,STD07,GEN,F,2026-2027,1,Student cohort for Standard 7 GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-STD08-GEN-A,DPS 2026-2027 English Medium Standard 8 GEN Division A,DPS-2026-GSEB-ENG-STD08-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD08_GEN,GSEB,DPS,ENG,STD08,GEN,A,2026-2027,1,Student cohort for Standard 8 GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-STD08-GEN-B,DPS 2026-2027 English Medium Standard 8 GEN Division B,DPS-2026-GSEB-ENG-STD08-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD08_GEN,GSEB,DPS,ENG,STD08,GEN,B,2026-2027,1,Student cohort for Standard 8 GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-STD08-GEN-C,DPS 2026-2027 English Medium Standard 8 GEN Division C,DPS-2026-GSEB-ENG-STD08-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD08_GEN,GSEB,DPS,ENG,STD08,GEN,C,2026-2027,1,Student cohort for Standard 8 GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-STD08-GEN-D,DPS 2026-2027 English Medium Standard 8 GEN Division D,DPS-2026-GSEB-ENG-STD08-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD08_GEN,GSEB,DPS,ENG,STD08,GEN,D,2026-2027,1,Student cohort for Standard 8 GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-STD08-GEN-E,DPS 2026-2027 English Medium Standard 8 GEN Division E,DPS-2026-GSEB-ENG-STD08-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD08_GEN,GSEB,DPS,ENG,STD08,GEN,E,2026-2027,1,Student cohort for Standard 8 GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-STD08-GEN-F,DPS 2026-2027 English Medium Standard 8 GEN Division F,DPS-2026-GSEB-ENG-STD08-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD08_GEN,GSEB,DPS,ENG,STD08,GEN,F,2026-2027,1,Student cohort for Standard 8 GEN Division F in 2026-2027.
DPS-2026-GSEB-ENG-STD09-GEN-A,DPS 2026-2027 English Medium Standard 9 GEN Division A,DPS-2026-GSEB-ENG-STD09-GEN-A,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD09_GEN,GSEB,DPS,ENG,STD09,GEN,A,2026-2027,1,Student cohort for Standard 9 GEN Division A in 2026-2027.
DPS-2026-GSEB-ENG-STD09-GEN-B,DPS 2026-2027 English Medium Standard 9 GEN Division B,DPS-2026-GSEB-ENG-STD09-GEN-B,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD09_GEN,GSEB,DPS,ENG,STD09,GEN,B,2026-2027,1,Student cohort for Standard 9 GEN Division B in 2026-2027.
DPS-2026-GSEB-ENG-STD09-GEN-C,DPS 2026-2027 English Medium Standard 9 GEN Division C,DPS-2026-GSEB-ENG-STD09-GEN-C,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD09_GEN,GSEB,DPS,ENG,STD09,GEN,C,2026-2027,1,Student cohort for Standard 9 GEN Division C in 2026-2027.
DPS-2026-GSEB-ENG-STD09-GEN-D,DPS 2026-2027 English Medium Standard 9 GEN Division D,DPS-2026-GSEB-ENG-STD09-GEN-D,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD09_GEN,GSEB,DPS,ENG,STD09,GEN,D,2026-2027,1,Student cohort for Standard 9 GEN Division D in 2026-2027.
DPS-2026-GSEB-ENG-STD09-GEN-E,DPS 2026-2027 English Medium Standard 9 GEN Division E,DPS-2026-GSEB-ENG-STD09-GEN-E,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD09_GEN,GSEB,DPS,ENG,STD09,GEN,E,2026-2027,1,Student cohort for Standard 9 GEN Division E in 2026-2027.
DPS-2026-GSEB-ENG-STD09-GEN-F,DPS 2026-2027 English Medium Standard 9 GEN Division F,DPS-2026-GSEB-ENG-STD09-GEN-F,DRONA_TRUST_GSEB_DPS_2026_2027_ENG_STD09_GEN,GSEB,DPS,ENG,STD09,GEN,F,2026-2027,1,Student cohort for Standard 9 GEN Division F in 2026-2027.
