username,cohort_code,role
dps.stu.00070,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00071,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00072,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00073,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00074,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00075,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00076,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00077,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00078,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00079,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00080,DPS-2026-GSEB-GUJ-STD01-GEN-B,student
dps.stu.00081,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00082,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00083,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00084,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00085,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00086,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00087,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00088,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00089,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00090,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00091,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00092,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00093,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00094,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00095,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00096,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00097,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00098,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00099,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00100,DPS-2026-GSEB-ENG-STD01-GEN-B,student
dps.stu.00101,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00102,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00103,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00104,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00105,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00106,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00107,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00108,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00109,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00110,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00111,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00112,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00113,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00114,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00115,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00116,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00117,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00118,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00119,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00120,DPS-2026-GSEB-HIN-STD01-GEN-B,student
dps.stu.00121,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00122,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00123,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00124,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00125,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00126,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00127,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00128,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00129,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00130,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00131,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00132,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00133,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00134,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00135,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00136,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00137,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00138,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00139,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00140,DPS-2026-GSEB-GUJ-STD01-GEN-C,student
dps.stu.00141,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00142,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00143,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00144,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00145,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00146,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00147,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00148,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00149,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00150,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00151,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00152,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00153,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00154,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00155,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00156,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00157,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00158,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00159,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00160,DPS-2026-GSEB-ENG-STD01-GEN-C,student
dps.stu.00161,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00162,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00163,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00164,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00165,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00166,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00167,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00168,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00169,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00170,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00171,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00172,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00173,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00174,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00175,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00176,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00177,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00178,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00179,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00180,DPS-2026-GSEB-HIN-STD01-GEN-C,student
dps.stu.00181,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00182,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00183,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00184,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00185,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00186,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00187,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00188,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00189,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00190,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00191,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00192,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00193,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00194,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00195,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00196,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00197,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00198,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00199,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00200,DPS-2026-GSEB-GUJ-STD01-GEN-D,student
dps.stu.00201,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00202,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00203,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00204,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00205,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00206,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00207,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00208,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00209,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00210,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00211,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00212,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00213,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00214,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00215,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00216,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00217,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00218,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00219,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00220,DPS-2026-GSEB-ENG-STD01-GEN-D,student
dps.stu.00221,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00222,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00223,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00224,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00225,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00226,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00227,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00228,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00229,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00230,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00231,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00232,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00233,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00234,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00235,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00236,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00237,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00238,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00239,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00240,DPS-2026-GSEB-HIN-STD01-GEN-D,student
dps.stu.00241,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00242,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00243,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00244,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00245,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00246,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00247,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00248,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00249,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00250,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00251,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00252,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00253,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00254,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00255,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00256,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00257,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00258,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00259,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00260,DPS-2026-GSEB-GUJ-STD01-GEN-E,student
dps.stu.00261,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00262,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00263,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00264,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00265,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00266,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00267,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00268,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00269,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00270,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00271,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00272,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00273,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00274,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00275,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00276,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00277,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00278,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00279,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00280,DPS-2026-GSEB-ENG-STD01-GEN-E,student
dps.stu.00281,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00282,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00283,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00284,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00285,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00286,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00287,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00288,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00289,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00290,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00291,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00292,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00293,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00294,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00295,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00296,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00297,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00298,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00299,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00300,DPS-2026-GSEB-HIN-STD01-GEN-E,student
dps.stu.00301,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00302,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00303,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00304,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00305,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00306,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00307,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00308,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00309,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00310,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00311,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00312,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00313,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00314,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00315,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00316,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00317,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00318,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00319,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00320,DPS-2026-GSEB-GUJ-STD01-GEN-F,student
dps.stu.00321,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00322,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00323,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00324,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00325,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00326,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00327,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00328,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00329,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00330,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00331,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00332,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00333,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00334,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00335,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00336,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00337,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00338,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00339,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00340,DPS-2026-GSEB-ENG-STD01-GEN-F,student
dps.stu.00341,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00342,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00343,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00344,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00345,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00346,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00347,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00348,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00349,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00350,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00351,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00352,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00353,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00354,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00355,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00356,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00357,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00358,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00359,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00360,DPS-2026-GSEB-HIN-STD01-GEN-F,student
dps.stu.00361,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00362,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00363,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00364,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00365,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00366,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00367,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00368,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00369,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00370,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00371,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00372,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00373,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
dps.stu.00374,DPS-2026-GSEB-GUJ-STD02-GEN-A,student
