academic_year,course_code,course_shortname,classwork_weight,practice_quiz_weight,assignment_weight,chapter_gate_weight,term_exam_weight,final_exam_weight,passing_percent
2026-2027,DPS-GSEB-GUJ-STD02-GEN-SCI-2026,DPS-GSEB-GUJ-STD02-GEN-SCI-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-SST-2026,DPS-GSEB-GUJ-STD02-GEN-SST-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-EVS-2026,DPS-GSEB-GUJ-STD02-GEN-EVS-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-COMP-2026,DPS-GSEB-GUJ-STD02-GEN-COMP-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-ART-2026,DPS-GSEB-GUJ-STD02-GEN-ART-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD02-GEN-PE-2026,DPS-GSEB-GUJ-STD02-GEN-PE-26,35,10,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-ENG-2026,DPS-GSEB-GUJ-STD03-GEN-ENG-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-HIN-2026,DPS-GSEB-GUJ-STD03-GEN-HIN-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-REG_LANG-2026,DPS-GSEB-GUJ-STD03-GEN-REG_LANG-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-MATH-2026,DPS-GSEB-GUJ-STD03-GEN-MATH-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-SCI-2026,DPS-GSEB-GUJ-STD03-GEN-SCI-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-SST-2026,DPS-GSEB-GUJ-STD03-GEN-SST-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-EVS-2026,DPS-GSEB-GUJ-STD03-GEN-EVS-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-COMP-2026,DPS-GSEB-GUJ-STD03-GEN-COMP-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-ART-2026,DPS-GSEB-GUJ-STD03-GEN-ART-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD03-GEN-PE-2026,DPS-GSEB-GUJ-STD03-GEN-PE-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-ENG-2026,DPS-GSEB-GUJ-STD04-GEN-ENG-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-HIN-2026,DPS-GSEB-GUJ-STD04-GEN-HIN-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-REG_LANG-2026,DPS-GSEB-GUJ-STD04-GEN-REG_LANG-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-MATH-2026,DPS-GSEB-GUJ-STD04-GEN-MATH-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-SCI-2026,DPS-GSEB-GUJ-STD04-GEN-SCI-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-SST-2026,DPS-GSEB-GUJ-STD04-GEN-SST-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-EVS-2026,DPS-GSEB-GUJ-STD04-GEN-EVS-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-COMP-2026,DPS-GSEB-GUJ-STD04-GEN-COMP-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-ART-2026,DPS-GSEB-GUJ-STD04-GEN-ART-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD04-GEN-PE-2026,DPS-GSEB-GUJ-STD04-GEN-PE-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD05-GEN-ENG-2026,DPS-GSEB-GUJ-STD05-GEN-ENG-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD05-GEN-HIN-2026,DPS-GSEB-GUJ-STD05-GEN-HIN-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD05-GEN-REG_LANG-2026,DPS-GSEB-GUJ-STD05-GEN-REG_LANG-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD05-GEN-MATH-2026,DPS-GSEB-GUJ-STD05-GEN-MATH-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD05-GEN-SCI-2026,DPS-GSEB-GUJ-STD05-GEN-SCI-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD05-GEN-SST-2026,DPS-GSEB-GUJ-STD05-GEN-SST-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD05-GEN-EVS-2026,DPS-GSEB-GUJ-STD05-GEN-EVS-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD05-GEN-COMP-2026,DPS-GSEB-GUJ-STD05-GEN-COMP-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD05-GEN-ART-2026,DPS-GSEB-GUJ-STD05-GEN-ART-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD05-GEN-PE-2026,DPS-GSEB-GUJ-STD05-GEN-PE-26,30,15,30,10,15,15,40
2026-2027,DPS-GSEB-GUJ-STD06-GEN-ENG-2026,DPS-GSEB-GUJ-STD06-GEN-ENG-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD06-GEN-HIN-2026,DPS-GSEB-GUJ-STD06-GEN-HIN-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD06-GEN-REG_LANG-2026,DPS-GSEB-GUJ-STD06-GEN-REG_LANG-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD06-GEN-MATH-2026,DPS-GSEB-GUJ-STD06-GEN-MATH-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD06-GEN-SCI-2026,DPS-GSEB-GUJ-STD06-GEN-SCI-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD06-GEN-SST-2026,DPS-GSEB-GUJ-STD06-GEN-SST-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD06-GEN-COMP-2026,DPS-GSEB-GUJ-STD06-GEN-COMP-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD06-GEN-ART-2026,DPS-GSEB-GUJ-STD06-GEN-ART-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD06-GEN-PE-2026,DPS-GSEB-GUJ-STD06-GEN-PE-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD07-GEN-ENG-2026,DPS-GSEB-GUJ-STD07-GEN-ENG-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD07-GEN-HIN-2026,DPS-GSEB-GUJ-STD07-GEN-HIN-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD07-GEN-REG_LANG-2026,DPS-GSEB-GUJ-STD07-GEN-REG_LANG-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD07-GEN-MATH-2026,DPS-GSEB-GUJ-STD07-GEN-MATH-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD07-GEN-SCI-2026,DPS-GSEB-GUJ-STD07-GEN-SCI-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD07-GEN-SST-2026,DPS-GSEB-GUJ-STD07-GEN-SST-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD07-GEN-COMP-2026,DPS-GSEB-GUJ-STD07-GEN-COMP-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD07-GEN-ART-2026,DPS-GSEB-GUJ-STD07-GEN-ART-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD07-GEN-PE-2026,DPS-GSEB-GUJ-STD07-GEN-PE-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD08-GEN-ENG-2026,DPS-GSEB-GUJ-STD08-GEN-ENG-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD08-GEN-HIN-2026,DPS-GSEB-GUJ-STD08-GEN-HIN-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD08-GEN-REG_LANG-2026,DPS-GSEB-GUJ-STD08-GEN-REG_LANG-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD08-GEN-MATH-2026,DPS-GSEB-GUJ-STD08-GEN-MATH-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD08-GEN-SCI-2026,DPS-GSEB-GUJ-STD08-GEN-SCI-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD08-GEN-SST-2026,DPS-GSEB-GUJ-STD08-GEN-SST-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD08-GEN-COMP-2026,DPS-GSEB-GUJ-STD08-GEN-COMP-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD08-GEN-ART-2026,DPS-GSEB-GUJ-STD08-GEN-ART-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD08-GEN-PE-2026,DPS-GSEB-GUJ-STD08-GEN-PE-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-STD09-GEN-ENG-2026,DPS-GSEB-GUJ-STD09-GEN-ENG-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD09-GEN-HIN-2026,DPS-GSEB-GUJ-STD09-GEN-HIN-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD09-GEN-REG_LANG-2026,DPS-GSEB-GUJ-STD09-GEN-REG_LANG-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD09-GEN-MATH-2026,DPS-GSEB-GUJ-STD09-GEN-MATH-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD09-GEN-SCI-2026,DPS-GSEB-GUJ-STD09-GEN-SCI-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD09-GEN-SST-2026,DPS-GSEB-GUJ-STD09-GEN-SST-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD09-GEN-COMP-2026,DPS-GSEB-GUJ-STD09-GEN-COMP-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD09-GEN-ART-2026,DPS-GSEB-GUJ-STD09-GEN-ART-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD09-GEN-PE-2026,DPS-GSEB-GUJ-STD09-GEN-PE-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD10-GEN-ENG-2026,DPS-GSEB-GUJ-STD10-GEN-ENG-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD10-GEN-HIN-2026,DPS-GSEB-GUJ-STD10-GEN-HIN-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD10-GEN-REG_LANG-2026,DPS-GSEB-GUJ-STD10-GEN-REG_LANG-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD10-GEN-MATH-2026,DPS-GSEB-GUJ-STD10-GEN-MATH-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD10-GEN-SCI-2026,DPS-GSEB-GUJ-STD10-GEN-SCI-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD10-GEN-SST-2026,DPS-GSEB-GUJ-STD10-GEN-SST-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD10-GEN-COMP-2026,DPS-GSEB-GUJ-STD10-GEN-COMP-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD10-GEN-ART-2026,DPS-GSEB-GUJ-STD10-GEN-ART-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD10-GEN-PE-2026,DPS-GSEB-GUJ-STD10-GEN-PE-26,15,20,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_SCI-SCI-ENG-2026,DPS-GSEB-GUJ-STD11_SCI-SCI-ENG-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_SCI-SCI-PE-2026,DPS-GSEB-GUJ-STD11_SCI-SCI-PE-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_SCI-SCI-PHY-2026,DPS-GSEB-GUJ-STD11_SCI-SCI-PHY-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_SCI-SCI-CHE-2026,DPS-GSEB-GUJ-STD11_SCI-SCI-CHE-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_SCI-SCI-BIO-2026,DPS-GSEB-GUJ-STD11_SCI-SCI-BIO-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_SCI-SCI-MATH_ADV-2026,DPS-GSEB-GUJ-STD11_SCI-SCI-MATH_ADV-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_SCI-SCI-IP-2026,DPS-GSEB-GUJ-STD11_SCI-SCI-IP-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_COM-COM-ENG-2026,DPS-GSEB-GUJ-STD11_COM-COM-ENG-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_COM-COM-PE-2026,DPS-GSEB-GUJ-STD11_COM-COM-PE-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_COM-COM-MATH_ADV-2026,DPS-GSEB-GUJ-STD11_COM-COM-MATH_ADV-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_COM-COM-APP_MATH-2026,DPS-GSEB-GUJ-STD11_COM-COM-APP_MATH-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_COM-COM-IP-2026,DPS-GSEB-GUJ-STD11_COM-COM-IP-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_COM-COM-ACC-2026,DPS-GSEB-GUJ-STD11_COM-COM-ACC-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_COM-COM-BST-2026,DPS-GSEB-GUJ-STD11_COM-COM-BST-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_COM-COM-ECO-2026,DPS-GSEB-GUJ-STD11_COM-COM-ECO-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_COM-COM-ENT-2026,DPS-GSEB-GUJ-STD11_COM-COM-ENT-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_ART-ART-ENG-2026,DPS-GSEB-GUJ-STD11_ART-ART-ENG-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_ART-ART-PE-2026,DPS-GSEB-GUJ-STD11_ART-ART-PE-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_ART-ART-APP_MATH-2026,DPS-GSEB-GUJ-STD11_ART-ART-APP_MATH-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_ART-ART-IP-2026,DPS-GSEB-GUJ-STD11_ART-ART-IP-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_ART-ART-HIS-2026,DPS-GSEB-GUJ-STD11_ART-ART-HIS-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_ART-ART-GEO-2026,DPS-GSEB-GUJ-STD11_ART-ART-GEO-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_ART-ART-POL-2026,DPS-GSEB-GUJ-STD11_ART-ART-POL-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_ART-ART-PSY-2026,DPS-GSEB-GUJ-STD11_ART-ART-PSY-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD11_ART-ART-SOC-2026,DPS-GSEB-GUJ-STD11_ART-ART-SOC-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_SCI-SCI-ENG-2026,DPS-GSEB-GUJ-STD12_SCI-SCI-ENG-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_SCI-SCI-PE-2026,DPS-GSEB-GUJ-STD12_SCI-SCI-PE-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_SCI-SCI-PHY-2026,DPS-GSEB-GUJ-STD12_SCI-SCI-PHY-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_SCI-SCI-CHE-2026,DPS-GSEB-GUJ-STD12_SCI-SCI-CHE-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_SCI-SCI-BIO-2026,DPS-GSEB-GUJ-STD12_SCI-SCI-BIO-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_SCI-SCI-MATH_ADV-2026,DPS-GSEB-GUJ-STD12_SCI-SCI-MATH_ADV-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_SCI-SCI-IP-2026,DPS-GSEB-GUJ-STD12_SCI-SCI-IP-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_COM-COM-ENG-2026,DPS-GSEB-GUJ-STD12_COM-COM-ENG-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_COM-COM-PE-2026,DPS-GSEB-GUJ-STD12_COM-COM-PE-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_COM-COM-MATH_ADV-2026,DPS-GSEB-GUJ-STD12_COM-COM-MATH_ADV-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_COM-COM-APP_MATH-2026,DPS-GSEB-GUJ-STD12_COM-COM-APP_MATH-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_COM-COM-IP-2026,DPS-GSEB-GUJ-STD12_COM-COM-IP-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_COM-COM-ACC-2026,DPS-GSEB-GUJ-STD12_COM-COM-ACC-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_COM-COM-BST-2026,DPS-GSEB-GUJ-STD12_COM-COM-BST-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_COM-COM-ECO-2026,DPS-GSEB-GUJ-STD12_COM-COM-ECO-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_COM-COM-ENT-2026,DPS-GSEB-GUJ-STD12_COM-COM-ENT-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_ART-ART-ENG-2026,DPS-GSEB-GUJ-STD12_ART-ART-ENG-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_ART-ART-PE-2026,DPS-GSEB-GUJ-STD12_ART-ART-PE-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_ART-ART-APP_MATH-2026,DPS-GSEB-GUJ-STD12_ART-ART-APP_MATH-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_ART-ART-IP-2026,DPS-GSEB-GUJ-STD12_ART-ART-IP-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_ART-ART-HIS-2026,DPS-GSEB-GUJ-STD12_ART-ART-HIS-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_ART-ART-GEO-2026,DPS-GSEB-GUJ-STD12_ART-ART-GEO-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_ART-ART-POL-2026,DPS-GSEB-GUJ-STD12_ART-ART-POL-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_ART-ART-PSY-2026,DPS-GSEB-GUJ-STD12_ART-ART-PSY-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-STD12_ART-ART-SOC-2026,DPS-GSEB-GUJ-STD12_ART-ART-SOC-26,10,25,25,20,20,20,40
2026-2027,DPS-GSEB-GUJ-ITI_ELEC-VOC_IND-ENG_DRAW-2026,DPS-GSEB-GUJ-ITI_ELEC-VOC_IND-ENG_DRAW-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-ITI_ELEC-VOC_IND-WORK_PRAC-2026,DPS-GSEB-GUJ-ITI_ELEC-VOC_IND-WORK_PRAC-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-ITI_ELEC-VOC_IND-ELEC_THEORY-2026,DPS-GSEB-GUJ-ITI_ELEC-VOC_IND-ELEC_THEORY-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-ITI_ELEC-VOC_IND-FIT_THEORY-2026,DPS-GSEB-GUJ-ITI_ELEC-VOC_IND-FIT_THEORY-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-ITI_FIT-VOC_IND-ENG_DRAW-2026,DPS-GSEB-GUJ-ITI_FIT-VOC_IND-ENG_DRAW-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-ITI_FIT-VOC_IND-WORK_PRAC-2026,DPS-GSEB-GUJ-ITI_FIT-VOC_IND-WORK_PRAC-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-ITI_FIT-VOC_IND-ELEC_THEORY-2026,DPS-GSEB-GUJ-ITI_FIT-VOC_IND-ELEC_THEORY-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-ITI_FIT-VOC_IND-FIT_THEORY-2026,DPS-GSEB-GUJ-ITI_FIT-VOC_IND-FIT_THEORY-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-POLY_ME_Y1-ENG-ENG_DRAW-2026,DPS-GSEB-GUJ-POLY_ME_Y1-ENG-ENG_DRAW-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-POLY_ME_Y1-ENG-WORK_PRAC-2026,DPS-GSEB-GUJ-POLY_ME_Y1-ENG-WORK_PRAC-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-POLY_ME_Y2-ENG-ENG_DRAW-2026,DPS-GSEB-GUJ-POLY_ME_Y2-ENG-ENG_DRAW-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-POLY_ME_Y2-ENG-WORK_PRAC-2026,DPS-GSEB-GUJ-POLY_ME_Y2-ENG-WORK_PRAC-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-POLY_ME_Y3-ENG-ENG_DRAW-2026,DPS-GSEB-GUJ-POLY_ME_Y3-ENG-ENG_DRAW-26,20,20,25,15,20,20,40
2026-2027,DPS-GSEB-GUJ-POLY_ME_Y3-ENG-WORK_PRAC-2026,DPS-GSEB-GUJ-POLY_ME_Y3-ENG-WORK_PRAC-26,20,20,25,15,20,20,40
