lookup_type,code,label
subject,IP,Informatics Practices
subject,JEE_MATH,JEE Mathematics
subject,JEE_PHY,JEE Physics
subject,JURIS,Jurisprudence
subject,LAW_CON,Constitutional Law
subject,LAW_CONTR,Contract Law
subject,LAW_IPC,Indian Penal Code
subject,MATH,Mathematics
subject,MATH_ADV,Advanced Mathematics
subject,MKT_MGT,Marketing Management
subject,NEET_BIO,NEET Biology
subject,NUR_FND,Nursing Foundations
subject,OB,Organizational Behavior
subject,OS,Operating Systems
subject,PATH,Pathology
subject,PE,Physical Education
subject,PHARM,Pharmacology
subject,PHY,Physics
subject,PHYS,Physiology
subject,POL,Political Science
subject,PROD_MGT,Product Management
subject,PROMPT_ENG,Prompt Engineering
subject,PSY,Psychology
subject,REG_LANG,Regional Language
subject,SCI,Science
subject,SOC,Sociology
subject,SST,Social Studies
subject,SWE,Software Engineering
subject,TAX,Taxation
subject,THERMO,Thermodynamics
subject,TYPO,Typography
subject,UI_UX,User Interface & Experience
subject,UPSC_POL,UPSC Indian Polity
subject,WORK_PRAC,Workshop Practice
subject_category,Architecture,Architecture
subject_category,Co-curricular,Co-curricular
subject_category,Commerce,Commerce
subject_category,Competitive Prep,Competitive Prep
subject_category,Core,Core
subject_category,Design,Design
subject_category,Elective,Elective
subject_category,Emerging Tech,Emerging Tech
subject_category,Engineering,Engineering
subject_category,Humanities,Humanities
subject_category,Language,Language
subject_category,Law,Law
subject_category,Management,Management
subject_category,Medical,Medical
subject_category,Nursing,Nursing
subject_category,Professional,Professional
subject_category,Science,Science
subject_category,Vocational,Vocational
term_model,MODULE,Module
term_model,SEMESTER,Semester
term_model,TWO_TERM,Two Term
