board_code,medium_code,grade_code,stream_code,subject_code,subject_name,subject_category,is_compulsory,is_elective,display_order,source_note
GSEB,GUJ,STD03,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,STD03,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,STD03,GEN,REG_LANG,Regional Language,Language,1,0,3,
GSEB,GUJ,STD03,GEN,MATH,Mathematics,Core,1,0,4,
GSEB,GUJ,STD03,GEN,SCI,Science,Core,1,0,5,
GSEB,GUJ,STD03,GEN,SST,Social Studies,Core,1,0,6,
GSEB,GUJ,STD03,GEN,EVS,Environmental Studies,Core,1,0,7,
GSEB,GUJ,STD03,GEN,COMP,Computer Science,Elective,1,0,8,
GSEB,GUJ,STD03,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD03,GEN,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD04,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,STD04,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,STD04,GEN,REG_LANG,Regional Language,Language,1,0,3,
GSEB,GUJ,STD04,GEN,MATH,Mathematics,Core,1,0,4,
GSEB,GUJ,STD04,GEN,SCI,Science,Core,1,0,5,
GSEB,GUJ,STD04,GEN,SST,Social Studies,Core,1,0,6,
GSEB,GUJ,STD04,GEN,EVS,Environmental Studies,Core,1,0,7,
GSEB,GUJ,STD04,GEN,COMP,Computer Science,Elective,1,0,8,
GSEB,GUJ,STD04,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD04,GEN,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD05,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,STD05,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,STD05,GEN,REG_LANG,Regional Language,Language,1,0,3,
GSEB,GUJ,STD05,GEN,MATH,Mathematics,Core,1,0,4,
GSEB,GUJ,STD05,GEN,SCI,Science,Core,1,0,5,
GSEB,GUJ,STD05,GEN,SST,Social Studies,Core,1,0,6,
GSEB,GUJ,STD05,GEN,EVS,Environmental Studies,Core,1,0,7,
GSEB,GUJ,STD05,GEN,COMP,Computer Science,Elective,1,0,8,
GSEB,GUJ,STD05,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD05,GEN,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD06,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,STD06,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,STD06,GEN,REG_LANG,Regional Language,Language,1,0,3,
GSEB,GUJ,STD06,GEN,MATH,Mathematics,Core,1,0,4,
GSEB,GUJ,STD06,GEN,SCI,Science,Core,1,0,5,
GSEB,GUJ,STD06,GEN,SST,Social Studies,Core,1,0,6,
GSEB,GUJ,STD06,GEN,COMP,Computer Science,Elective,1,0,8,
GSEB,GUJ,STD06,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD06,GEN,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD07,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,STD07,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,STD07,GEN,REG_LANG,Regional Language,Language,1,0,3,
GSEB,GUJ,STD07,GEN,MATH,Mathematics,Core,1,0,4,
GSEB,GUJ,STD07,GEN,SCI,Science,Core,1,0,5,
GSEB,GUJ,STD07,GEN,SST,Social Studies,Core,1,0,6,
GSEB,GUJ,STD07,GEN,COMP,Computer Science,Elective,1,0,8,
GSEB,GUJ,STD07,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD07,GEN,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD08,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,STD08,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,STD08,GEN,REG_LANG,Regional Language,Language,1,0,3,
GSEB,GUJ,STD08,GEN,MATH,Mathematics,Core,1,0,4,
GSEB,GUJ,STD08,GEN,SCI,Science,Core,1,0,5,
GSEB,GUJ,STD08,GEN,SST,Social Studies,Core,1,0,6,
GSEB,GUJ,STD08,GEN,COMP,Computer Science,Elective,1,0,8,
GSEB,GUJ,STD08,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD08,GEN,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD09,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,STD09,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,STD09,GEN,REG_LANG,Regional Language,Language,1,0,3,
GSEB,GUJ,STD09,GEN,MATH,Mathematics,Core,1,0,4,
GSEB,GUJ,STD09,GEN,SCI,Science,Core,1,0,5,
GSEB,GUJ,STD09,GEN,SST,Social Studies,Core,1,0,6,
GSEB,GUJ,STD09,GEN,COMP,Computer Science,Elective,1,0,8,
GSEB,GUJ,STD09,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD09,GEN,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD10,GEN,ENG,English,Language,1,0,1,
GSEB,GUJ,STD10,GEN,HIN,Hindi,Language,1,0,2,
GSEB,GUJ,STD10,GEN,REG_LANG,Regional Language,Language,1,0,3,
GSEB,GUJ,STD10,GEN,MATH,Mathematics,Core,1,0,4,
GSEB,GUJ,STD10,GEN,SCI,Science,Core,1,0,5,
GSEB,GUJ,STD10,GEN,SST,Social Studies,Core,1,0,6,
GSEB,GUJ,STD10,GEN,COMP,Computer Science,Elective,1,0,8,
GSEB,GUJ,STD10,GEN,ART,Art & Craft,Co-curricular,1,0,9,
GSEB,GUJ,STD10,GEN,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD11_SCI,SCI,ENG,English,Language,1,0,1,
GSEB,GUJ,STD11_SCI,SCI,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD11_SCI,SCI,PHY,Physics,Science,1,0,11,
GSEB,GUJ,STD11_SCI,SCI,CHE,Chemistry,Science,1,0,12,
GSEB,GUJ,STD11_SCI,SCI,BIO,Biology,Science,1,0,13,
GSEB,GUJ,STD11_SCI,SCI,MATH_ADV,Advanced Mathematics,Science,1,0,14,
GSEB,GUJ,STD11_SCI,SCI,IP,Informatics Practices,Elective,1,0,16,
GSEB,GUJ,STD11_COM,COM,ENG,English,Language,1,0,1,
GSEB,GUJ,STD11_COM,COM,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD11_COM,COM,MATH_ADV,Advanced Mathematics,Science,1,0,14,
GSEB,GUJ,STD11_COM,COM,APP_MATH,Applied Mathematics,Commerce,1,0,15,
GSEB,GUJ,STD11_COM,COM,IP,Informatics Practices,Elective,1,0,16,
GSEB,GUJ,STD11_COM,COM,ACC,Accountancy,Commerce,1,0,17,
GSEB,GUJ,STD11_COM,COM,BST,Business Studies,Commerce,1,0,18,
GSEB,GUJ,STD11_COM,COM,ECO,Economics,Commerce,1,0,19,
GSEB,GUJ,STD11_COM,COM,ENT,Entrepreneurship,Elective,1,0,20,
GSEB,GUJ,STD11_ART,ART,ENG,English,Language,1,0,1,
GSEB,GUJ,STD11_ART,ART,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD11_ART,ART,APP_MATH,Applied Mathematics,Commerce,1,0,15,
GSEB,GUJ,STD11_ART,ART,IP,Informatics Practices,Elective,1,0,16,
GSEB,GUJ,STD11_ART,ART,HIS,History,Humanities,1,0,21,
GSEB,GUJ,STD11_ART,ART,GEO,Geography,Humanities,1,0,22,
GSEB,GUJ,STD11_ART,ART,POL,Political Science,Humanities,1,0,23,
GSEB,GUJ,STD11_ART,ART,PSY,Psychology,Humanities,1,0,24,
GSEB,GUJ,STD11_ART,ART,SOC,Sociology,Humanities,1,0,25,
GSEB,GUJ,STD12_SCI,SCI,ENG,English,Language,1,0,1,
GSEB,GUJ,STD12_SCI,SCI,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD12_SCI,SCI,PHY,Physics,Science,1,0,11,
GSEB,GUJ,STD12_SCI,SCI,CHE,Chemistry,Science,1,0,12,
GSEB,GUJ,STD12_SCI,SCI,BIO,Biology,Science,1,0,13,
GSEB,GUJ,STD12_SCI,SCI,MATH_ADV,Advanced Mathematics,Science,1,0,14,
GSEB,GUJ,STD12_SCI,SCI,IP,Informatics Practices,Elective,1,0,16,
GSEB,GUJ,STD12_COM,COM,ENG,English,Language,1,0,1,
GSEB,GUJ,STD12_COM,COM,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD12_COM,COM,MATH_ADV,Advanced Mathematics,Science,1,0,14,
GSEB,GUJ,STD12_COM,COM,APP_MATH,Applied Mathematics,Commerce,1,0,15,
GSEB,GUJ,STD12_COM,COM,IP,Informatics Practices,Elective,1,0,16,
GSEB,GUJ,STD12_COM,COM,ACC,Accountancy,Commerce,1,0,17,
GSEB,GUJ,STD12_COM,COM,BST,Business Studies,Commerce,1,0,18,
GSEB,GUJ,STD12_COM,COM,ECO,Economics,Commerce,1,0,19,
GSEB,GUJ,STD12_COM,COM,ENT,Entrepreneurship,Elective,1,0,20,
GSEB,GUJ,STD12_ART,ART,ENG,English,Language,1,0,1,
GSEB,GUJ,STD12_ART,ART,PE,Physical Education,Co-curricular,1,0,10,
GSEB,GUJ,STD12_ART,ART,APP_MATH,Applied Mathematics,Commerce,1,0,15,
GSEB,GUJ,STD12_ART,ART,IP,Informatics Practices,Elective,1,0,16,
GSEB,GUJ,STD12_ART,ART,HIS,History,Humanities,1,0,21,
GSEB,GUJ,STD12_ART,ART,GEO,Geography,Humanities,1,0,22,
GSEB,GUJ,STD12_ART,ART,POL,Political Science,Humanities,1,0,23,
GSEB,GUJ,STD12_ART,ART,PSY,Psychology,Humanities,1,0,24,
GSEB,GUJ,STD12_ART,ART,SOC,Sociology,Humanities,1,0,25,
GSEB,GUJ,ITI_ELEC,VOC_IND,ENG_DRAW,Engineering Drawing,Vocational,1,0,26,
GSEB,GUJ,ITI_ELEC,VOC_IND,WORK_PRAC,Workshop Practice,Vocational,1,0,27,
GSEB,GUJ,ITI_ELEC,VOC_IND,ELEC_THEORY,Electrician Theory,Vocational,1,0,28,
GSEB,GUJ,ITI_ELEC,VOC_IND,FIT_THEORY,Fitter Theory,Vocational,1,0,29,
GSEB,GUJ,ITI_FIT,VOC_IND,ENG_DRAW,Engineering Drawing,Vocational,1,0,26,
GSEB,GUJ,ITI_FIT,VOC_IND,WORK_PRAC,Workshop Practice,Vocational,1,0,27,
GSEB,GUJ,ITI_FIT,VOC_IND,ELEC_THEORY,Electrician Theory,Vocational,1,0,28,
GSEB,GUJ,ITI_FIT,VOC_IND,FIT_THEORY,Fitter Theory,Vocational,1,0,29,
GSEB,GUJ,POLY_ME_Y1,ENG,ENG_DRAW,Engineering Drawing,Vocational,1,0,26,
GSEB,GUJ,POLY_ME_Y1,ENG,WORK_PRAC,Workshop Practice,Vocational,1,0,27,
GSEB,GUJ,POLY_ME_Y2,ENG,ENG_DRAW,Engineering Drawing,Vocational,1,0,26,
GSEB,GUJ,POLY_ME_Y2,ENG,WORK_PRAC,Workshop Practice,Vocational,1,0,27,
GSEB,GUJ,POLY_ME_Y3,ENG,ENG_DRAW,Engineering Drawing,Vocational,1,0,26,
GSEB,GUJ,POLY_ME_Y3,ENG,WORK_PRAC,Workshop Practice,Vocational,1,0,27,
GSEB,GUJ,POLY_CE_Y1,ENG,ENG_DRAW,Engineering Drawing,Vocational,1,0,26,
GSEB,GUJ,POLY_CE_Y1,ENG,WORK_PRAC,Workshop Practice,Vocational,1,0,27,
GSEB,GUJ,POLY_CE_Y2,ENG,ENG_DRAW,Engineering Drawing,Vocational,1,0,26,
GSEB,GUJ,POLY_CE_Y2,ENG,WORK_PRAC,Workshop Practice,Vocational,1,0,27,
GSEB,GUJ,POLY_CE_Y3,ENG,ENG_DRAW,Engineering Drawing,Vocational,1,0,26,
GSEB,GUJ,POLY_CE_Y3,ENG,WORK_PRAC,Workshop Practice,Vocational,1,0,27,
GSEB,GUJ,NUR_GNM_Y1,NUR,NUR_FND,Nursing Foundations,Nursing,1,0,43,
GSEB,GUJ,NUR_GNM_Y2,NUR,NUR_FND,Nursing Foundations,Nursing,1,0,43,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,DSA,Data Structures & Algorithms,Engineering,1,0,30,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,DBMS,Database Management Systems,Engineering,1,0,31,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,OS,Operating Systems,Engineering,1,0,32,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,CN,Computer Networks,Engineering,1,0,33,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,AI_ML,Artificial Intelligence & ML,Engineering,1,0,34,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,SWE,Software Engineering,Engineering,1,0,35,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,THERMO,Thermodynamics,Engineering,1,0,36,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,CIRCUITS,Electronic Circuits,Engineering,1,0,37,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,ANAT,Human Anatomy,Medical,1,0,38,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,PHYS,Physiology,Medical,1,0,39,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,PHARM,Pharmacology,Medical,1,0,40,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,PATH,Pathology,Medical,1,0,41,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,COM_MED,Community Medicine,Medical,1,0,42,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,LAW_CON,Constitutional Law,Law,1,0,44,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,LAW_IPC,Indian Penal Code,Law,1,0,45,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,LAW_CONTR,Contract Law,Law,1,0,46,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,JURIS,Jurisprudence,Law,1,0,47,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,CORP_ACC,Corporate Accounting,Commerce,1,0,48,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,FIN_MGT,Financial Management,Management,1,0,49,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,MKT_MGT,Marketing Management,Management,1,0,50,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,OB,Organizational Behavior,Management,1,0,51,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,UI_UX,User Interface & Experience,Design,1,0,54,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,TYPO,Typography,Design,1,0,55,
GSEB,GUJ,UNI_UG_CSE_Y1,ENG,ARCH_DSN,Architectural Design,Architecture,1,0,56,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,DSA,Data Structures & Algorithms,Engineering,1,0,30,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,DBMS,Database Management Systems,Engineering,1,0,31,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,OS,Operating Systems,Engineering,1,0,32,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,CN,Computer Networks,Engineering,1,0,33,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,AI_ML,Artificial Intelligence & ML,Engineering,1,0,34,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,SWE,Software Engineering,Engineering,1,0,35,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,THERMO,Thermodynamics,Engineering,1,0,36,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,CIRCUITS,Electronic Circuits,Engineering,1,0,37,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,ANAT,Human Anatomy,Medical,1,0,38,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,PHYS,Physiology,Medical,1,0,39,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,PHARM,Pharmacology,Medical,1,0,40,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,PATH,Pathology,Medical,1,0,41,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,COM_MED,Community Medicine,Medical,1,0,42,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,LAW_CON,Constitutional Law,Law,1,0,44,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,LAW_IPC,Indian Penal Code,Law,1,0,45,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,LAW_CONTR,Contract Law,Law,1,0,46,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,JURIS,Jurisprudence,Law,1,0,47,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,CORP_ACC,Corporate Accounting,Commerce,1,0,48,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,FIN_MGT,Financial Management,Management,1,0,49,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,MKT_MGT,Marketing Management,Management,1,0,50,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,OB,Organizational Behavior,Management,1,0,51,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,UI_UX,User Interface & Experience,Design,1,0,54,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,TYPO,Typography,Design,1,0,55,
GSEB,GUJ,UNI_UG_CSE_Y2,ENG,ARCH_DSN,Architectural Design,Architecture,1,0,56,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,DSA,Data Structures & Algorithms,Engineering,1,0,30,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,DBMS,Database Management Systems,Engineering,1,0,31,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,OS,Operating Systems,Engineering,1,0,32,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,CN,Computer Networks,Engineering,1,0,33,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,AI_ML,Artificial Intelligence & ML,Engineering,1,0,34,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,SWE,Software Engineering,Engineering,1,0,35,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,THERMO,Thermodynamics,Engineering,1,0,36,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,CIRCUITS,Electronic Circuits,Engineering,1,0,37,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,ANAT,Human Anatomy,Medical,1,0,38,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,PHYS,Physiology,Medical,1,0,39,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,PHARM,Pharmacology,Medical,1,0,40,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,PATH,Pathology,Medical,1,0,41,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,COM_MED,Community Medicine,Medical,1,0,42,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,LAW_CON,Constitutional Law,Law,1,0,44,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,LAW_IPC,Indian Penal Code,Law,1,0,45,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,LAW_CONTR,Contract Law,Law,1,0,46,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,JURIS,Jurisprudence,Law,1,0,47,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,CORP_ACC,Corporate Accounting,Commerce,1,0,48,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,FIN_MGT,Financial Management,Management,1,0,49,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,MKT_MGT,Marketing Management,Management,1,0,50,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,OB,Organizational Behavior,Management,1,0,51,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,UI_UX,User Interface & Experience,Design,1,0,54,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,TYPO,Typography,Design,1,0,55,
GSEB,GUJ,UNI_UG_CSE_Y3,ENG,ARCH_DSN,Architectural Design,Architecture,1,0,56,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,DSA,Data Structures & Algorithms,Engineering,1,0,30,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,DBMS,Database Management Systems,Engineering,1,0,31,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,OS,Operating Systems,Engineering,1,0,32,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,CN,Computer Networks,Engineering,1,0,33,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,AI_ML,Artificial Intelligence & ML,Engineering,1,0,34,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,SWE,Software Engineering,Engineering,1,0,35,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,THERMO,Thermodynamics,Engineering,1,0,36,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,CIRCUITS,Electronic Circuits,Engineering,1,0,37,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,ANAT,Human Anatomy,Medical,1,0,38,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,PHYS,Physiology,Medical,1,0,39,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,PHARM,Pharmacology,Medical,1,0,40,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,PATH,Pathology,Medical,1,0,41,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,COM_MED,Community Medicine,Medical,1,0,42,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,LAW_CON,Constitutional Law,Law,1,0,44,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,LAW_IPC,Indian Penal Code,Law,1,0,45,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,LAW_CONTR,Contract Law,Law,1,0,46,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,JURIS,Jurisprudence,Law,1,0,47,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,CORP_ACC,Corporate Accounting,Commerce,1,0,48,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,FIN_MGT,Financial Management,Management,1,0,49,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,MKT_MGT,Marketing Management,Management,1,0,50,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,OB,Organizational Behavior,Management,1,0,51,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,UI_UX,User Interface & Experience,Design,1,0,54,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,TYPO,Typography,Design,1,0,55,
GSEB,GUJ,UNI_UG_CSE_Y4,ENG,ARCH_DSN,Architectural Design,Architecture,1,0,56,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,DSA,Data Structures & Algorithms,Engineering,1,0,30,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,DBMS,Database Management Systems,Engineering,1,0,31,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,OS,Operating Systems,Engineering,1,0,32,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,CN,Computer Networks,Engineering,1,0,33,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,AI_ML,Artificial Intelligence & ML,Engineering,1,0,34,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,SWE,Software Engineering,Engineering,1,0,35,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,THERMO,Thermodynamics,Engineering,1,0,36,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,CIRCUITS,Electronic Circuits,Engineering,1,0,37,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,ANAT,Human Anatomy,Medical,1,0,38,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,PHYS,Physiology,Medical,1,0,39,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,PHARM,Pharmacology,Medical,1,0,40,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,PATH,Pathology,Medical,1,0,41,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,COM_MED,Community Medicine,Medical,1,0,42,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,LAW_CON,Constitutional Law,Law,1,0,44,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,LAW_IPC,Indian Penal Code,Law,1,0,45,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,LAW_CONTR,Contract Law,Law,1,0,46,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,JURIS,Jurisprudence,Law,1,0,47,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,CORP_ACC,Corporate Accounting,Commerce,1,0,48,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,FIN_MGT,Financial Management,Management,1,0,49,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,MKT_MGT,Marketing Management,Management,1,0,50,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,OB,Organizational Behavior,Management,1,0,51,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,UI_UX,User Interface & Experience,Design,1,0,54,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,TYPO,Typography,Design,1,0,55,
GSEB,GUJ,UNI_UG_DS_Y1,SCI,ARCH_DSN,Architectural Design,Architecture,1,0,56,
GSEB,GUJ,UNI_UG_DS_Y2,SCI,DSA,Data Structures & Algorithms,Engineering,1,0,30,
